"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
LSC","","","","","","","","","","","","","","","","","","",""
"","100
001","15","3.633","73.3","6.7","6.7",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"","100
002","16","3.188","31.3","25.0","25.0","12.5",".",".","6.3",".",".",".",".",".",".",".",".","."
"","003
100","16","3.563","50.0","37.5","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","100
006","15","3.867","86.7",".","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
007","14","2.750","50.0","21.4",".",".",".",".","28.6",".",".",".",".",".",".",".",".","."
"","100
008","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
010","16","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
011","16","3.438","50.0","25.0","18.8",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","012
100","16","3.188","37.5","37.5","6.3",".","6.3","6.3","6.3",".",".",".",".",".",".",".",".","."
"","100
013","16","3.781","68.8","25.0",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
014","16","3.406","56.3","18.8","6.3","12.5",".",".","6.3",".",".",".",".",".",".",".",".","."
"","100
015","14","3.643","78.6","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","100
016","15","3.467","73.3","6.7",".","6.7",".","13.3",".",".",".",".",".",".",".",".",".","."
"","017
100","16","3.719","62.5","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Science and Storytelling","Course Total","215","3.526","61.9","20.0","7.4","3.3","1.4","1.9","4.2",".",".",".",".",".",".",".",".","."
"Sci Comm First-Year Seminar","001
155","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
001","20","3.775","75.0","15.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","212
002","20","3.825","90.0",".",".","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","40","3.800","82.5","7.5","2.5","2.5","5.0",".",".",".",".",".",".",".",".",".",".","."
"Science, Media and Society","001
251","288","3.387","27.8","38.9","23.3","5.9","3.5",".","0.7",".",".",".",".",".",".",".",".","."
"Marketing Comm for Sciences","270
001","83","3.669","74.7","13.3","4.8",".","2.4","2.4","2.4",".",".",".",".",".",".",".",".","."
"Intro to Digital Video Prod","314
001","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","332
001","27","3.852","77.8","18.5",".","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Visualizing Sci & Technology","350
001","95","3.930","86.3","9.5","2.1",".",".",".",".",".",".",".",".",".",".","1.1",".","1.1"
"Information Radio","360
001","17","3.735","76.5",".","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Social Media for Life Sciences","432
001","85","3.765","74.1","17.6","3.5","1.2","2.4",".","1.2",".",".",".",".",".",".",".",".","."
"Photography for the Sciences","450
001","40","3.938","90.0","7.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Web Design for the Sciences","532
001","27","3.556","74.1",".","3.7","7.4","14.8",".",".",".",".",".",".",".",".",".",".","."
"","560
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","560
002","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scientific Writing","Course Total","38","3.987","97.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","617
001","13","3.654","61.5","15.4","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","617
002","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Communication-Info Age","Course Total","23","3.696","65.2","13.0","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Risk Communication","625
001","27","3.593","66.7","7.4","14.8","7.4",".","3.7",".",".",".",".",".",".",".",".",".","."
"Case Studies-Com of Sci & Tech","640
001","12","3.833","83.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Data Analysis-Comm Research","660
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Communication Thry&Rsch","720
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
