"LEGAL STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"535
LEGAL ST","","","","","","","","","","","","","","","","","","","",""
"Criminal Justice in America","131","001","179","2.821","10.1","18.4","32.4","16.2","17.9","3.9","1.1",".",".",".",".",".",".",".",".","."
"American Legal History to 1860","261","001","40","3.125","7.5","30.0","35.0","12.5","5.0",".",".","10.0",".",".",".",".",".",".",".","."
"Human Rights in Law & Society","409","001","79","3.603","60.8","19.0","10.1","1.3","6.3",".","1.3",".",".",".",".",".","1.3",".",".","."
"Crime, Gender and Justice","425","001","45","3.367","44.4","26.7","13.3","6.7","4.4",".","4.4",".",".",".",".",".",".",".",".","."
"Civil Rights","435","001","95","3.483","32.6","32.6","25.3","2.1","2.1",".",".",".",".",".",".",".","1.1","4.2",".","."
"Ethnicity, Race, and Justice","440","001","49","3.214","32.7","36.7","8.2","10.2","4.1","4.1","4.1",".",".",".",".",".",".",".",".","."
"Law in Action","444","001","69","3.942","89.9","8.7","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic:Legal Studies&Humanities","450","029","104","3.762","75.0","15.4","1.0","1.9","1.0","1.9","1.0",".",".",".",".",".","2.9",".",".","."
"Health and Social Needs","473","001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medieval Law and Society","476","001","55","3.824","78.2","12.7","5.5",".",".","1.8",".","1.8",".",".",".",".",".",".",".","."
"Sociology of Law","641","001","20","3.725","70.0","15.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","694","001","27","3.907","85.2","11.1","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","694","002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crimnl Justice Fld Observtn","","Course Total","40","3.938","90.0","7.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","023","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
