"NUTRITIONAL SCIENCES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"","132","001","308","3.580","63.3","13.6","11.4","5.5","3.6","1.9","0.6",".",".",".",".",".",".",".",".","."
"","132","002","338","3.494","62.4","13.3","8.3","6.8","3.0","5.3","0.9",".",".",".",".",".",".",".",".","."
"Nutrition Today","","Course Total","646","3.535","62.8","13.5","9.8","6.2","3.3","3.7","0.8",".",".",".",".",".",".",".",".","."
"Prof-Dietetics & Nutrition","200","001","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Introduction to Global Health","203","001","355","3.860","79.4","12.7","5.6","0.3","0.3","0.3",".",".",".",".",".",".","1.1","0.3",".","."
"","299","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","070","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","071","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Nutritional Needs","332","001","89","2.815","22.5","15.7","16.9","14.6","22.5","4.5","3.4",".",".",".",".",".",".",".",".","."
"Cultural Aspects Food and Nutr","377","001","19","3.816","84.2",".","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergrad Capstone Seminar Lab","500","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutr Biochm & Mtblsm","510","001","33","3.576","57.6","6.1","30.3","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"Nutrition, Fitness and Health","525","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Nutr&Couns for Athletic Perf","550","001","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Seminar in Nutrition","600","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Nutrition: Minerals","623","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Nutrition I","631","001","38","3.224","23.7","26.3","28.9","13.2","7.9",".",".",".",".",".",".",".",".",".",".","."
"App Clinical Nutrition I","641","001","38","3.829","68.4","28.9","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mol Ctrl of Mtblsm & Mtblc Dis","645","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Clin Nutr: Crit Care Nutr","650","001","22","3.795","63.6","31.8","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutrition in Aging","655","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutr & Dietetics Practicum I","670","001","13","3.423",".","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","073","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","095","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Energy Metabolism","710","002","19","3.842","78.9","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pers Nutr-Genomics & Genetics","711","001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Micronutr-Human Phys & Disease","715","001","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutrition Informatics","721","001","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutritional Mgmt GI Disorders","726","002","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Nutr&Metabolism (Adv)","901","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Nutrition","931","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
