"L&S","","","","","","","","","","","","","","","","","","","","",""
"INTERNATIONAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","",""
"INTL ST
504","Dept. Total","601","3.497","36.6","25.5","14.8","3.5","1.3","0.7","0.7","",".","",".","15.0","0.2","0.2","1.3",".","0.2","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","224","3.377","22.3","31.3","20.5","4.9","1.8","1.3",".","",".","",".","16.1",".",".","1.3",".",".","0.4"
"Sophomore","","129","3.551","36.4","24.0","13.2","3.9",".",".","0.8","",".","",".","19.4","0.8",".","0.8",".","0.8","."
"Junior","","96","3.585","47.9","14.6","9.4","2.1","3.1","1.0",".","",".","",".","19.8",".",".","2.1",".",".","."
"Senior","","142","3.593","50.0","25.4","11.3","1.4","0.7",".","2.1","",".","",".","7.0",".","0.7","1.4",".",".","."
"Undergraduates","","591","3.493","36.2","25.5","14.9","3.4","1.4","0.7","0.7","",".","",".","15.2","0.2","0.2","1.4",".","0.2","0.2"
"Special","","10","3.726","60.0","20.0","10.0","10.0",".",".",".","",".","",".",".",".",".",".",".",".","."
"","Dept. Total","601","3.497","36.6","25.5","14.8","3.5","1.3","0.7","0.7","",".","",".","15.0","0.2","0.2","1.3",".","0.2","0.2"
