"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","110
039","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
040","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
041","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
042","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
043","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","044
110","24","3.667","83.3",".","8.3",".","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"","110
045","30","3.933","93.3","3.3",".","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","110
046","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
047","30","3.983","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","048
110","15","3.867","86.7",".","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
049","23","3.891","87.0","8.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","110
050","22","3.659","50.0","31.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
100","25","3.800","76.0","8.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pers & Prof Foundation in Bus","Course Total","1215","3.886","88.8","5.4","3.4","0.8","1.0","0.2","0.3",".",".",".",".",".",".",".",".","."
"Business Law","301
001","478","3.084","10.5","25.7","36.8","23.6","3.1",".",".",".","0.2",".",".",".",".",".",".","."
"","302
001","35","3.643","48.6","31.4","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
302","30","3.450","23.3","43.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bus Orgs&Negotiable Instrumnts","Course Total","65","3.554","36.9","36.9","26.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","306
001","91","3.022","15.4","18.7","33.0","23.1","8.8","1.1",".",".",".",".",".",".",".",".",".","."
"","306
002","104","3.039","18.3","19.2","26.0","26.9","7.7",".","1.0",".",".",".",".",".","1.0",".",".","."
"","003
306","95","3.121","22.1","20.0","26.3","23.2","8.4",".",".",".",".",".",".",".",".",".",".","."
"","306
004","54","3.000","14.8","22.2","31.5","14.8","14.8","1.9",".",".",".",".",".",".",".",".",".","."
"","306
005","98","3.199","21.4","27.6","26.5","18.4","6.1",".",".",".",".",".",".",".",".",".",".","."
"","306
006","97","3.077","21.6","18.6","27.8","19.6","11.3","1.0",".",".",".",".",".",".",".",".",".","."
"","306
007","48","3.010","22.9","6.3","31.3","29.2","10.4",".",".",".",".",".",".",".",".",".",".","."
"Business Analytics I","Course Total","587","3.077","19.6","19.8","28.4","22.1","9.2","0.5","0.2",".",".",".",".",".","0.2",".",".","."
"","307
001","23","3.159","30.4","21.7","21.7","8.7","4.3","8.7",".",".",".",".",".",".","4.3",".",".","."
"","307
002","42","3.107","16.7","38.1","19.0","16.7","2.4","7.1",".",".",".",".",".",".",".",".",".","."
"","307
003","96","2.974","17.7","31.3","15.6","17.7","6.3","10.4",".",".",".",".",".",".","1.0",".",".","."
"","307
004","100","3.179","32.0","26.0","13.0","15.0","4.0","8.0",".",".",".",".",".",".","1.0","1.0",".","."
"","307
005","100","3.140","27.0","26.0","21.0","12.0","8.0","6.0",".",".",".",".",".",".",".",".",".","."
"Business Analytics II","Course Total","361","3.104","24.9","28.5","17.2","14.7","5.5","8.0",".",".",".",".",".",".","0.8","0.3",".","."
"Acctg&Finance - Non-Bus Majors","010
310","236","3.146","22.0","28.8","16.9","22.9","6.4","0.8","0.8",".",".",".",".",".","0.8",".","0.4","."
"","311
001","88","3.347","34.1","28.4","20.5","4.5","6.8","1.1","1.1","3.4",".",".",".",".",".",".",".","."
"","311
002","86","3.250","19.8","37.2","29.1","8.1","3.5","1.2","1.2",".",".",".",".",".",".",".",".","."
"","311
003","88","3.233","17.0","42.0","25.0","5.7","4.5","2.3","1.1","2.3",".",".",".",".",".",".",".","."
"","004
311","84","3.193","21.4","34.5","26.2","6.0","6.0","3.6","1.2","1.2",".",".",".",".",".",".",".","."
"Mgmt & Mrktg Non-Bus Majors","Course Total","346","3.256","23.1","35.5","25.1","6.1","5.2","2.0","1.2","1.7",".",".",".",".",".",".",".","."
"Intercultural Communctn in Bus","320
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","360
001","18","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
003","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
005","17","3.625","41.2","41.2","5.9","5.9",".",".",".",".",".",".",".",".","5.9",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","Page 48 of 467"
