"URBAN AND REGIONAL PLANNI","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","",""
"Introduction to the City","305","001","","45","3.544","46.7","33.3","15.6",".",".","4.4",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gentrification & Urb Restruct","512","002","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Apps of GIS in Planning","532","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Transport & Built Environment","550","001","","27","3.963","96.3",".","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590","003","","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","590","004","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Topics-Urb & Reg Pl","","Course Total","","38","4.000","97.4",".",".",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"Site Planning","601","001","","19","3.632","31.6","63.2","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Systems & Marketplaces","711","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Planning Analysis","721","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Planning","751","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Energy Analysis & Policy","809","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Water Resrce Inst&Policies","865","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Planning Workshop","912","001","","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
