"PATHOLOGY AND LABORATORY Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"210
HIV: Sex, Society and Science","001","","19","3.289","42.1","10.5","31.6","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"399","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","100","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","105","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","11","3.952","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"751
Biology of Aging","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"755
Responsible Conduct: Research","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"802
Histopath for Scientists","001","","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803
Pathogensis-Major Hum Diseases","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","001","","46","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"901","002","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Student Seminar / Journal Club","Course Total","","57","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"920","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"General Pathology Clerkship","Course Total","","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"921","001","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"921","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","008","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Transfusion Med Customized","Course Total","","29","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"922","007","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"922","009","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"922","010","","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Laboratory Medicine Customized","Course Total","","55","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"923","005","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"923","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"923","011","","33","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","Page 414 of 467",""
