"L&S","","","","","","","","","","","","","","","","","","","","","","","","",""
"URBAN AND REGIONAL PLANNI","Section","#","Ave","A","AB","B","BC","","C","","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","","","","","",""
"URB R PL
944","Dept. Total","227","3.800","73.6","17.2","5.3","",".","",".","0.9","",".","2.6","",".",".","",".","",".","0.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","24","3.375","37.5","33.3","20.8","",".","",".","8.3","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","19","3.778","63.2","31.6","5.3","",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","34","3.792","67.6","23.5","8.8","",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","77","3.643","57.1","28.6","11.7","",".","",".","2.6","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","150","3.911","82.0","11.3","2.0","",".","",".",".","",".","4.0","",".",".","",".","",".","0.7",".",".","."
"","Dept. Total","227","3.800","73.6","17.2","5.3","",".","",".","0.9","",".","2.6","",".",".","",".","",".","0.4",".",".","."
