"ENVIR ST - GAYLORD NELSON I","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Directed Study","399
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
001","","18","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics: Biol Aspects-Envir St","Course Total","","21","3.895","90.5",".","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Env Perspctve-Phys Sci","401
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","402
001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
402","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402
003","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Perspectives-Envir Studies","Course Total","","49","3.959","93.9","4.1","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","404
002","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","404
003","","13","3.462","69.2","7.7",".","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"Topics in Envir Humanities","Course Total","","25","3.700","80.0","8.0",".","4.0","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"Sustainability Sci, Tech & Pol","417
001","","19","3.842","94.7",".",".",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"US Envir Policy & Regulation","439
001","","27","3.481","59.3","22.2","11.1",".",".",".","7.4",".",".",".",".",".",".",".",".","."
"Amer Environmental History","460
001","","31","3.581","45.2","41.9","6.5","3.2",".","3.2",".",".",".",".",".",".",".",".",".","."
"Air Pollution&Human Health","502
001","","84","3.726","65.5","16.7","16.7",".","1.2",".",".",".",".",".",".",".",".",".",".","."
"Natural Resources Policy","515
001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Apps of GIS in Planning","532
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","533
001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","533
002","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic in Lit and Environment","Course Total","","21","3.881","81.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Remote Sensing Digitl Image","556
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
002","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","600
004","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
006","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
007","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Studies Capstone","Course Total","","65","3.985","96.9","3.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conservation Biology","651
001","","7","3.571","57.1","28.6",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
104","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
119","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","3.925","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Water Res Mgt Pract Plan Smr I","717
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Energy Analysis & Policy","809
001","","14","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","Page 171 of 467",""
