"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"OTM","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","114","2.721","14.0","13.2","26.3","15.8","20.2","8.8","0.9",".","",".",".","",".","",".","0.9",".",".","."
"Junior","218","3.116","22.9","21.6","33.9","6.0","11.0","2.8","0.9","0.5","",".",".","",".","",".","0.5",".",".","."
"Senior","297","3.339","38.7","19.2","24.6","7.7","7.4","1.7",".",".","",".",".","",".","",".","0.3",".",".","0.3"
"Undergraduates","630","3.150","28.7","18.9","28.3","8.6","11.0","3.3","0.5","0.2","",".",".","",".","",".","0.5",".",".","0.2"
"Special","17","3.500","52.9","29.4",".",".","17.6",".",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","439","3.619","49.9","29.4","18.0","1.6","0.5",".",".",".","",".",".","",".","",".","0.7",".",".","."
"Prof Yr 2","9","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","5","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","14","3.893","78.6","21.4",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
