"INDUSTRIAL & SYSTEMS ENGR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"890","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","034","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","040","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","071","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","074","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","44","",".",".",".",".",".",".",".","81.8",".",".",".","15.9","2.3",".",".","."
"961","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"961","002","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grad Smr-Industrial Engr","Course Total","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","8","",".",".",".",".",".",".",".","62.5",".",".",".","37.5",".",".",".","."
"999
Advanced Independent Study","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
