"GENERAL BUSINESS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","",""
"","106
001","","569","",".",".",".",".",".",".",".","0.2",".","97.9","1.6",".",".","0.2",".","."
"","106
002","","218","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","106
003","","432","",".",".",".",".",".",".",".",".",".","99.1","0.7",".",".",".",".","."
"","106
100","","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Skills for Business Analysis","Course Total","","1242","",".",".",".",".",".",".",".","0.1",".","98.7","1.0",".",".","0.1",".","."
"","110
001","","24","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
002","","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
003","","29","3.828","93.1",".","3.4",".",".",".","3.4",".",".",".",".",".",".",".",".","."
"","110
004","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
110","","31","3.968","96.8",".","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
006","","22","3.932","90.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
007","","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
008","","29","3.897","89.7","6.9",".",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"","110
009","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
010","","24","3.771","79.2","12.5",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","011
110","","24","3.854","87.5",".","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","110
012","","22","3.932","95.5",".",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","110
013","","27","3.796","77.8","11.1","7.4",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","110
014","","28","3.911","92.9","3.6",".",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"","110
015","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","016
110","","24","3.667","58.3","29.2","4.2","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","110
017","","23","3.674","73.9",".","13.0","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"","110
018","","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","019
110","","24","3.958","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
020","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
021","","24","3.854","83.3","4.2","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
022","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
023","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
024","","27","3.796","77.8","11.1","7.4",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","110
025","","24","3.417","66.7","16.7",".",".","4.2","8.3","4.2",".",".",".",".",".",".",".",".","."
"","026
110","","24","3.667","79.2","4.2","8.3","4.2",".",".","4.2",".",".",".",".",".",".",".",".","."
"","110
027","","27","3.926","85.2","14.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
028","","27","3.852","92.6",".","3.7",".",".","3.7",".",".",".",".",".",".",".",".",".","."
"","110
029","","26","3.769","80.8","7.7","3.8",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","110
030","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
031","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
032","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
033","","21","3.857","85.7","4.8","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","110
034","","22","3.909","95.5",".",".",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","110
035","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","036
110","","28","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
037","","27","3.944","92.6","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
038","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","","Page 47 of 467"
