"","990
073","3","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
075","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
083","3","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","37","",".",".",".",".",".",".",".","75.7","",".",".","",".","24.3",".",".",".","."
"PATH-BIO
703","Dept. Total","1088","3.674","48.0","11.5","10.8","1.5","1.4","0.1","0.3","25.1","",".",".","",".","0.8","0.5",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","22","3.719","81.8","4.5","9.1",".","4.5",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","","21","3.550","71.4",".","23.8",".",".",".","4.8",".","",".",".","",".",".",".",".",".","."
"Senior","","41","3.208","48.8","7.3","19.5","9.8","7.3","2.4","4.9",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","87","3.415","64.4","4.6","17.2","4.6","4.6","1.1","3.4",".","",".",".","",".",".",".",".",".","."
"Special","","4","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","59","3.903","40.7",".","1.7",".",".",".",".","39.0","",".",".","",".","15.3","1.7",".","1.7","."
"Prof Yr 1","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 2","","734","3.691","53.3","16.5","13.9","1.6","1.4",".",".","12.9","",".",".","",".",".","0.4",".",".","."
"Prof Yr 3","","89","",".",".",".",".",".",".",".","98.9","",".",".","",".",".","1.1",".",".","."
"Prof Yr 4","","113","4.000","41.6",".",".",".",".",".",".","58.4","",".",".","",".",".",".",".",".","."
"Professionals","","938","3.709","46.8","12.9","10.9","1.3","1.1",".",".","26.7","",".",".","",".",".","0.4",".",".","."
"","Dept. Total","1088","3.674","48.0","11.5","10.8","1.5","1.4","0.1","0.3","25.1","",".",".","",".","0.8","0.5",".","0.1","."
