"","990
187","3","***","","","","","","","","","",".",".","",".",".",".",".","."
"","990
190","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","990
199","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"Reading and Research","Course Total","49","",".",".",".",".",".",".",".","79.6",".",".","",".","20.4",".",".",".","."
"MATH
600","Dept. Total","10320","2.925","31.7","10.6","22.7","7.3","16.2","6.6","2.7","0.5","0.0","0.0","",".","0.1","1.5","0.1","0.0","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3947","2.830","25.1","11.4","24.0","8.1","19.3","7.2","3.4",".",".",".","",".",".","1.5","0.0",".","."
"Sophomore","","3025","2.894","29.9","10.1","24.7","6.4","17.5","7.2","2.6","0.0",".",".","",".",".","1.5",".",".","."
"Junior","","1601","2.921","31.0","10.4","23.9","8.8","14.9","6.9","2.6",".","0.1",".","",".",".","1.4",".","0.1","."
"Senior","","958","3.003","33.2","13.5","20.3","8.7","13.5","5.7","2.3","0.4","0.2","0.1","",".",".","2.0","0.1","0.1","."
"Undergraduates","","9531","2.878","28.4","11.0","23.8","7.7","17.4","7.0","2.9","0.1","0.0","0.0","",".",".","1.5","0.0","0.0","."
"Special","","176","3.599","62.5","10.2","14.8","2.3","4.0","1.7","0.6","0.6",".","0.6","",".",".","1.1","1.1","0.6","."
"Graduate","","613","3.799","74.6","4.4","7.8","1.8","1.3","0.5",".","6.7",".","0.3","",".","1.6","0.3","0.3","0.2","0.2"
"","Dept. Total","10320","2.925","31.7","10.6","22.7","7.3","16.2","6.6","2.7","0.5","0.0","0.0","",".","0.1","1.5","0.1","0.0","0.0"
