"DESIGN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","",""
"","101
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Textile Design","Course Total","","30","3.883","80.0","16.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals I","001
120","","153","3.572","49.0","33.3","9.2","4.6","0.7","2.0","0.7",".",".",".",".",".",".","0.7",".","."
"Vis Thinking - Form and Space","140
001","","17","3.375","64.7","5.9",".","5.9","11.8",".","5.9",".",".",".",".",".","5.9",".",".","."
"Sewn Construction I","153
001","","45","3.733","64.4","17.8","17.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
001","","15","3.333","53.3",".","26.7",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","210
002","","10","3.333","30.0","20.0","30.0",".","10.0",".",".",".",".",".",".",".","10.0",".",".","."
"Fashion Illustration","Course Total","","25","3.333","44.0","8.0","28.0",".","16.0",".",".",".",".",".",".",".","4.0",".",".","."
"Person & Environ Interactions","221
001","","135","3.393","45.2","18.5","24.4","5.2","2.2","3.0","1.5",".",".",".",".",".",".",".",".","."
"Interior Design I","222
001","","32","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Architect Design","223
001","","29","3.845","82.8","3.4","13.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Materials and Finishes","224
001","","32","3.891","81.3","15.6","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving I","229
001","","10","3.700","70.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","241
002","","17","3.882","88.2","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","241
003","","15","3.633","53.3","20.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Visual Communication I","Course Total","","32","3.766","71.9","12.5","12.5","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Design Leadership Symposium","252
001","","120","3.646","70.0","13.3","6.7","4.2","2.5","2.5","0.8",".",".",".",".",".",".",".",".","."
"","253
001","","13","3.083","23.1","15.4","30.8",".","23.1",".",".","7.7",".",".",".",".",".",".",".","."
"","253
002","","13","3.292","46.2","23.1","7.7",".","7.7",".","7.7","7.7",".",".",".",".",".",".",".","."
"Patternmaking-Apparel Design","Course Total","","26","3.188","34.6","19.2","19.2",".","15.4",".","3.8","7.7",".",".",".",".",".",".",".","."
"Dimensions-Material Culture","264
001","","28","3.788","53.6","39.3",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Independent Study","299
019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cloth to Clothing","319
001","","10","3.778","60.0","20.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Dsgn-Manual/Comptr Gen Imagery","327
001","","15","3.464","53.3","20.0","13.3",".",".",".","6.7",".",".",".",".",".","6.7",".",".","."
"","341
001","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
002","","31","3.855","87.1","6.5",".","3.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"Design Thinking","Course Total","","63","3.929","93.7","3.2",".","1.6","1.6",".",".",".",".",".",".",".",".",".",".","."
"Hist of Arch. & Interiors I","421
001","","35","3.914","88.6","8.6",".","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Hist of Arch. & Interiors II","422
001","","30","3.885","70.0","13.3","3.3",".",".",".",".",".",".",".",".",".",".","13.3",".","."
"Textile Design: Weaving II","429
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Color Theory and Technology","451
001","","23","3.152","21.7","30.4","30.4",".","13.0","4.3",".",".",".",".",".",".",".",".",".","."
"","501
003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wearable Technology","518
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Experimental Textile Design","528
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile:Spec & End Use Anal","561
001","","27","3.611","48.1","37.0","7.4","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"Internship","601
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
