"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","316","3.326","39.6","22.8","18.7","8.2","8.2","1.6","0.9",".",".",".",".",".",".",".",".","."
"","102
001","35","3.414","34.3","17.1","45.7","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","28","3.179","17.9","17.9","50.0","10.7","3.6",".",".",".",".",".",".",".",".",".",".","."
"","102
003","32","3.469","40.6","18.8","34.4","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","32","3.266","28.1","15.6","43.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","127","3.339","30.7","17.3","43.3","6.3","2.4",".",".",".",".",".",".",".",".",".",".","."
"","299
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
030","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
059","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
091","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
098","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms","303
001","195","3.182","29.2","17.4","32.8","7.7","11.3",".","1.5",".",".",".",".",".",".",".",".","."
"","304
001","33","3.303","33.3","15.2","36.4","9.1","6.1",".",".",".",".",".",".",".",".",".",".","."
"","304
002","36","3.139","22.2","13.9","44.4","8.3","11.1",".",".",".",".",".",".",".",".",".",".","."
"","304
003","32","3.177","28.1","18.8","34.4","3.1","6.3","6.3",".",".",".",".",".",".","3.1",".",".","."
"","004
304","34","3.118","23.5","14.7","35.3","14.7","11.8",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms Lab","Course Total","135","3.183","26.7","15.6","37.8","8.9","8.9","1.5",".",".",".",".",".",".","0.7",".",".","."
"","305
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","13","3.885","92.3",".",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","305
003","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Analyses-Microbiology","Course Total","46","3.967","97.8",".",".","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Food Microbiology Laboratory","324
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Food Microbiology","325
001","21","3.119","28.6","4.8","42.9","9.5","14.3",".",".",".",".",".",".",".",".",".",".","."
"Environmental Microbiology","425
001","26","3.558","65.4","11.5","15.4",".","3.8",".","3.8",".",".",".",".",".",".",".",".","."
"Divrsty, Ecol&Evolutn-Microrg","450
001","30","3.417","50.0","10.0","23.3","6.7","10.0",".",".",".",".",".",".",".",".",".",".","."
"Micro Genetics & Mol Machines","470
001","32","3.516","56.3","6.3","21.9","15.6",".",".",".",".",".",".",".",".",".",".",".","."
"Physiol of Microorganisms","526
001","53","3.176","35.8","17.0","17.0","9.4","11.3","5.7",".","1.9",".",".",".",".","1.9",".",".","."
"Adv Lab Techniques - Microbio","527
001","71","3.183","23.9","26.8","29.6","9.9","7.0","1.4","1.4",".",".",".",".",".",".",".",".","."
"Prokaryotic Molecular Biol","612
001","19","3.816","73.7","21.1",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","681
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
095","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","Page 10 of 467"
