"ASIAN LANG & CULTURE: LANG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","","",""
"355","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"355","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Asian Language","Course Total","","17","3.938","82.4","11.8",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"357","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"357","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"357","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"357","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Asian Language","Course Total","","11","3.773","81.8","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"376
Japanese Conversation","001","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"378","001","","21","3.929","90.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"378","002","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chinese Conversation","Course Total","","28","3.911","89.3","3.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"405
Seventh Semester Korean","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"421","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"421","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"7th Semester Asian Language","Course Total","","4","***","","","","","","","","","","","","","","","",""
"451
Advanced Readings Japanese","001","","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"457
Ad Chin: Rd & Writ","001","","20","3.868","75.0","15.0","5.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"560
Adv. Reading in Asian Language","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
