"LANDSCAPE ARCHITECTURE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","",""
"Intro Land Arch Design","210
002","19","3.842","84.2","10.5",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","250
001","17","3.765","76.5","11.8","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","250
002","14","3.786","78.6",".","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
003","22","3.682","77.3","9.1","4.5",".","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","250
005","62","3.329","32.3","8.1","9.7","6.5",".","1.6","3.2","38.7",".",".",".",".",".",".",".","."
"","250
006","47","3.394","55.3","23.4","6.4","4.3","2.1","2.1","6.4",".",".",".",".",".",".",".",".","."
"","250
008","15","3.700","60.0","26.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","250
009","26","3.788","84.6",".","7.7","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"","010
250","24","3.913","83.3","8.3","4.2",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Survey of Land Arch Design","Course Total","227","3.604","60.8","11.5","7.9","3.5","1.8","1.3","2.2","10.6",".",".",".",".","0.4",".",".","."
"Prin Land Arc Dsgn&Graphics","261
002","15","3.333","20.0","40.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Dimensions-Material Culture","264
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","299
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to frameworks and tech","311
001","34","3.955","88.2","8.8",".",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Landscape Arch Tech II","354
001","17","3.250","17.6","29.4","5.9","5.9","11.8",".",".",".",".",".",".",".","29.4",".",".","."
"Eco-Restoration Education","363
001","49","3.980","95.9","4.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
004","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
005","16","3.786","62.5","12.5","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Special Topics","Course Total","31","3.856","74.2","9.7","9.7",".",".",".",".",".",".",".",".",".","6.5",".",".","."
"Internship in Land Arch","397
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Visual Communication","460
001","14","3.538","7.1","85.7",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Social Justice Landscape","525
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Apps of GIS in Planning","532
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Professionl Pract-Land Arch","550
001","14","3.000","14.3","21.4","21.4","21.4","14.3",".",".",".",".",".",".",".","7.1",".",".","."
"Plants and Ecology in Design","560
001","14","3.654","28.6","64.3",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Designing Sustainable Regions","563
002","13","3.692","38.5","61.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Landscape Arch","610
001","13","3.458","15.4","61.5","7.7","7.7",".",".",".",".",".",".",".",".","7.7",".",".","."
"Culture and Built Environment","639
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Restoration Ecology","668
001","21","3.875","76.2","14.3","4.8",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Special Problems-Land Arch","699
020","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate Seminar","940
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
015","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Independent Studies","999
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
