"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","420
003","32","3.391","28.1","34.4","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Investmt Bankg & Capital Mrkts","Course Total","72","3.382","30.6","30.6","30.6","6.9",".",".","1.4",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","26","3.673","65.4","19.2","11.5",".",".","3.8",".",".",".",".",".",".",".",".",".","."
"Applied Equity Mkts Research 1","535
001","20","3.725","55.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
001","32","3.406","43.8","18.8","18.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","635
002","28","3.268","35.7","21.4","21.4","3.6","17.9",".",".",".",".",".",".",".",".",".",".","."
"Business Valuation","Course Total","60","3.342","40.0","20.0","20.0","8.3","11.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Appl Security Analyss","645
001","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
020","35","3.700","48.6","42.9","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
021","36","3.847","75.0","19.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","050
700","63","3.817","69.8","23.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","Course Total","134","3.795","65.7","27.6","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory&Practice","720
060","24","3.667","54.2","25.0","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Corporatn Finance Thry&Prac","725
050","49","3.418","44.9","16.3","22.4","10.2","6.1",".",".",".",".",".",".",".",".",".",".","."
"Derivative Securities","730
060","25","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"Analysis Fixed Inc Securities","740
001","12","3.583","50.0","33.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","765
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
004","13","3.577","38.5","46.2","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","765
005","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
007","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","32","3.703","50.0","43.8","3.1","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"SecurityAnalysis&Invstmt Mgt I","835
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance I","850
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Finance","920
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Finance PhD","999
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
