"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","","",""
"","990
142","1","***","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
147","1","***","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research","Course Total","53","",".",".",".",".","",".","",".","",".","83.0","",".",".","",".","11.3","",".",".","5.7","."
"ONCOLOGY
700","Dept. Total","177","3.839","55.4","9.6","5.1",".","",".","",".","",".","24.9","",".",".","",".","3.4","",".",".","1.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","7","3.941","85.7","14.3",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","16","3.946","87.5","12.5",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","35","3.852","80.0","11.4","8.6",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","58","3.889","82.8","12.1","5.2",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","4","***","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","115","3.816","42.6","7.0","4.3",".","",".","",".","",".","38.3","",".",".","",".","5.2","",".",".","2.6","."
"","Dept. Total","177","3.839","55.4","9.6","5.1",".","",".","",".","",".","24.9","",".",".","",".","3.4","",".",".","1.7","."
