"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Forests of the World","100","001","76","3.803","85.5",".","10.5",".","2.6","1.3",".",".",".",".",".",".",".",".",".","."
"Agroecology of Food and Ag","103","002","27","3.556","40.7","33.3","22.2","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","51","3.500","49.0","27.5","11.8","5.9","2.0","3.9",".",".",".",".",".",".",".",".",".","."
"Environment & Social Sciences","112","001","249","3.764","72.3","17.3","3.6","2.4","1.2",".","1.2",".",".",".",".",".","0.8","1.2",".","."
"GreenHouse Roots Seminar","117","001","58","3.603","70.7",".","19.0",".","10.3",".",".",".",".",".",".",".",".",".",".","."
"Intro Earth System","120","001","126","3.397","29.4","42.1","16.7","5.6","4.8","1.6",".",".",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","78","3.365","52.6","7.7","25.6","1.3","7.7","3.8","1.3",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","127","001","13","2.808","15.4","15.4","30.8","23.1","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"Global Environmental Issues","139","001","156","3.561","55.8","19.2","16.0","4.5","2.6","1.3","0.6",".",".",".",".",".",".",".",".","."
"","153","001","41","3.841","80.5","9.8","7.3","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","153","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","153","004","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literature and the Environment","","Course Total","50","3.800","74.0","14.0","10.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","199","114","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","201","001","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","002","7","3.500","42.9","42.9",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","201","003","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","","Course Total","31","3.758","67.7","22.6","6.5",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"Our Planet, Our Health","205","001","112","3.750","76.8","8.9","8.9",".","4.5","0.9",".",".",".",".",".",".",".",".",".","."
"Environment&Global Economy","244","001","44","3.432","56.8","11.4","15.9","2.3","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","43","3.452","51.2","9.3","25.6","4.7","4.7","2.3",".",".",".",".",".",".",".","2.3",".","."
"IndigenousPeoples&Environment","306","001","123","3.719","59.3","26.0","4.1","1.6",".",".","1.6","7.3",".",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315","001","41","3.415","41.5","19.5","22.0","14.6","2.4",".",".",".",".",".",".",".",".",".",".","."
"","317","001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317","002","15","3.929","80.0","13.3",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Comm Envir Scholars Seminar","","Course Total","31","3.950","87.1","9.7",".",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"Systems & LCA","326","001","27","3.926","88.9","7.4","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental History: Europe","328","001","19","2.921","15.8","15.8","36.8","21.1","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"Past Climatic Environments","335","001","14","3.107","21.4","50.0","14.3",".",".","7.1","7.1",".",".",".",".",".",".",".",".","."
"Nature, Power and Society","337","001","10","3.167","10.0","10.0","70.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Environmental Conservation","339","001","47","3.207","27.7","31.9","14.9","8.5","12.8",".","2.1",".",".",".",".",".","2.1",".",".","."
"Indigenous Envir Communicators","341","001","17","3.967","82.4","5.9",".",".",".",".",".",".",".",".",".",".","11.8",".",".","."
"Climate Change Governance","349","001","125","3.560","57.6","24.8","4.8","3.2","6.4","0.8","1.6","0.8",".",".",".",".",".",".",".","."
"Introduction to Air Quality","355","001","28","3.446","42.9","32.1","14.3",".","7.1","3.6",".",".",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","54","3.528","57.4","25.9","7.4","1.9","1.9","1.9","3.7",".",".",".",".",".",".",".",".","."
"","367","001","25","3.100","24.0","24.0","28.0","4.0","16.0","4.0",".",".",".",".",".",".",".",".",".","."
"","367","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Renewable Energy Systems","","Course Total","26","3.115","23.1","26.9","26.9","3.8","15.4","3.8",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","13","3.192","38.5","23.1","7.7",".","30.8",".",".",".",".",".",".",".",".",".",".","."
