"FOREST AND WILDLIFE ECOLO","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"Forests of the World","100","001","37","3.595","70.3",".","18.9",".","10.8",".",".",".",".",".",".",".",".",".",".","."
"Orientation to Wildlfe Ecology","101","001","45","3.744","73.3","17.8","4.4","2.2",".",".","2.2",".",".",".",".",".",".",".",".","."
"Living with Wildlife","110","001","201","3.076","25.4","21.9","22.4","11.9","12.4","3.0","1.5","1.0",".",".",".",".","0.5",".",".","."
"Envir, Nat Resources & Society","248","001","8","3.438","62.5","12.5",".",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"","299","037","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Principles-Wildlife Ecology","318","001","46","3.044","28.3","19.6","19.6","10.9","10.9","8.7",".",".",".",".",".",".",".",".",".","2.2"
"Extinction of Species","360","001","39","3.684","56.4","25.6","10.3","5.1",".",".",".",".",".",".",".",".","2.6",".",".","."
"Special Topics","375","002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dendrology","402","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wildlife Damage Management","404","001","13","3.292","7.7","46.2","30.8","7.7",".",".",".",".",".",".",".",".","7.7",".",".","."
"Environmental Biogeochem","451","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"The Vegetation of Wisconsin","455","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"General Ecology","460","001","16","3.063","12.5","25.0","31.3","25.0","6.3",".",".",".",".",".",".",".",".",".",".","."
"Natural Resources Policy","515","001","10","3.313","20.0","30.0","20.0",".","10.0",".",".","10.0",".",".",".",".","10.0",".",".","."
"","550","001","27","3.796","66.7","25.9","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","550","002","23","3.804","73.9","13.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Forest Ecology","","Course Total","50","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Forest Ecology Lab","551","002","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wildlife Management Tech","561","002","32","2.931","15.6","18.8","21.9","25.0","3.1","3.1","3.1",".",".",".",".",".","9.4",".",".","."
"","571","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","571","002","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","","Course Total","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Complex Conservation of Deer","577","001","19","3.563","31.6","36.8","10.5","5.3",".",".",".","5.3",".",".",".",".","10.5",".",".","."
"Integrated Resource Mgmt","590","001","7","4.000","28.6",".",".",".",".",".",".",".",".",".",".",".","71.4",".",".","."
"Conservation Biology","651","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Climate Change Ecology","660","001","28","3.704","60.7","25.0","3.6","3.6","3.6",".",".","3.6",".",".",".",".",".",".",".","."
"","681","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","052","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"Practicm-Forestry&Wl Ecol Tchg","799","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","001","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","875","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","","Page 23 of 467"
