"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"PHM SCI","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","2","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","20","3.846","80.0","10.0","10.0",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","79","3.672","67.1","13.9","12.7","2.5","3.8",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","101","3.703","70.3","12.9","11.9","2.0","3.0",".","",".",".","",".",".","",".",".",".",".",".","."
"Special","8","3.750","62.5","25.0","12.5",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","267","3.784","38.6","10.9","3.4","0.4","0.7","0.4","",".","19.9","",".","23.6","",".","1.9","0.4",".",".","."
"Prof Yr 1","196","3.544","49.0","19.4","19.9","9.2","2.0","0.5","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","371","3.641","54.4","23.7","18.3","2.7","0.8",".","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","96","3.760","66.7","22.9","6.3","4.2",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Professionals","663","3.625","54.6","22.3","17.0","4.8","1.1","0.2","",".",".","",".",".","",".",".",".",".",".","."
