"PATHO-BIOLOGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"150
Topics & Careers in Vet Sci","001","","14","3.857","92.9",".",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"210
HIV: Sex, Society and Science","001","","44","3.477","61.4","6.8","20.5","2.3","4.5","2.3","2.3",".",".",".",".",".",".",".",".","."
"299
Independent Study","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"510
Veterinary Immunology","001","","91","3.676","53.8","29.7","15.4",".","1.1",".",".",".",".",".",".",".",".",".",".","."
"512
Intro-Veterinary Epidemolgy","001","","91","3.313","31.9","22.0","30.8","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"513
Veterinary Virology","001","","91","3.511","40.7","25.3","30.8","2.2","1.1",".",".",".",".",".",".",".",".",".",".","."
"517
Veterinary Bact & Mycology","001","","91","3.896","83.5","12.1","4.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"525
Active, Integrated Learning I","001","","91","4.000","96.7",".",".",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"528
Immunology","001","","24","3.000","37.5","4.2","29.2","12.5","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"559
Veterinary General Path","003","","91","3.929","89.0","7.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"560
Veterinary Systemic Path I","002","","91","3.473","31.9","36.3","27.5","3.3","1.1",".",".",".",".",".",".",".",".",".",".","."
"660
Vet Necropsy Diag Pathology","001","","40","4.000","97.5",".",".",".",".",".",".","2.5",".",".",".",".",".",".",".","."
"675","001","","14","4.000","35.7",".",".",".",".",".",".","64.3",".",".",".",".",".",".",".","."
"675","002","","43","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","003","","180","",".",".",".",".",".",".",".","97.8",".",".",".",".","2.2",".",".","."
"Special Topics","Course Total","","237","4.000","2.1",".",".",".",".",".",".","96.2",".",".",".",".","1.7",".",".","."
"699","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","106","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","108","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","17","4.000","76.5",".",".",".",".",".",".","17.6",".",".",".",".",".",".","5.9","."
"775","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"930
Advanced Seminar","012","","26","4.000","96.2",".",".",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","Page 460 of 467",""
