"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"So You Want to Chng the World?","100
001","120","3.979","96.7","2.5","0.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","105
001","33","3.455","57.6","18.2","15.2",".","3.0",".","6.1",".",".",".",".",".",".",".",".","."
"","205
003","50","3.510","56.0","14.0","20.0","2.0",".","6.0",".",".",".",".",".",".","2.0",".",".","."
"","205
004","59","3.669","67.8","15.3","8.5","6.8",".",".","1.7",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","Course Total","109","3.597","62.4","14.7","13.8","4.6",".","2.8","0.9",".",".",".",".",".","0.9",".",".","."
"Introduction-Social Policy","206
001","74","2.534","1.4","23.0","23.0","27.0","12.2","6.8","6.8",".",".",".",".",".",".",".",".","."
"Cont Issues-Social Welfare","375
001","21","3.381","23.8","47.6","19.0",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"","008
400","11","4.000","81.8",".",".",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"","400
009","6","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"","400
010","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
011","12","3.909","75.0","16.7",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","400
012","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
014","11","3.700","36.4","54.5",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","101
400","12","3.909","83.3",".","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","400
102","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr I","Course Total","86","3.918","79.1","10.5","2.3",".",".",".",".",".",".",".",".",".","8.1",".",".","."
"Poverty and Social Welfare","420
001","10","3.800","80.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Social Issues in Aging","422
001","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
001","14","3.857","85.7","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","441
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
003","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
005","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
006","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
010","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
011","12","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"SW with Ind, Fams, and Grps","Course Total","85","3.952","90.6","5.9",".","1.2",".",".",".",".",".",".",".",".","2.4",".",".","."
"","442
001","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
002","14","3.808","57.1","35.7",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","442
003","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
004","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
005","10","3.833","60.0","30.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Genlst Pract w Comms & Orgs","Course Total","63","3.820","63.5","31.7","1.6",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"Substance Use Disorders","453
001","98","3.763","68.4","22.4","5.1","2.0",".",".","1.0",".",".",".",".",".","1.0",".",".","."
"Child Welfare","462
001","25","3.740","72.0","20.0",".",".","8.0",".",".",".",".",".",".",".",".",".",".","."
"Family Violence","523
001","13","3.909","69.2","15.4",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"","605
001","20","3.658","45.0","35.0","15.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","010
605","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Field of Social Work","Course Total","39","3.737","56.4","30.8","10.3",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"Social Policy","606
010","18","3.833","77.8","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Diversity Opp Soc Just in SW","640
001","68","3.811","79.4","11.8","1.5","1.5",".","2.9",".",".",".",".",".",".","2.9",".",".","."
"","644
001","15","3.400","60.0","6.7","20.0","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","Page 341 of 467",""
