"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"FAM MED","","","","","","","","","","","","","","","","","","",""
"Senior","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","","1","***","","","","","","","","","",".",".",".",".",".","100.0","."
"Prof Yr 1","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 2","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","","47","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Professionals","","62","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
