"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"H ONCOL","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","10","4.000","50.0",".",".",".",".",".",".","40.0",".",".",".",".",".",".","10.0","."
"Prof Yr 3","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Professionals","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
