"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","371
002","115","2.947","24.3","11.3","20.9","20.0","20.0","2.6",".",".",".",".",".",".","0.9",".",".","."
"","371
003","96","2.826","25.0","9.4","19.8","14.6","21.9","7.3","1.0",".",".",".",".",".","1.0",".",".","."
"","371
004","104","2.798","24.0","8.7","26.0","12.5","20.2","3.8","4.8",".",".",".",".",".",".",".",".","."
"","005
371","93","2.801","25.8","11.8","12.9","19.4","19.4","9.7","1.1",".",".",".",".",".",".",".",".","."
"Intro Applied Stats-Life Sci","Course Total","525","2.861","25.3","11.0","19.8","15.8","20.8","4.6","2.3",".",".",".",".",".","0.4",".",".","."
"Internship Class CS & Data Sci","403
001","7","3.714","71.4","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","421
001","63","3.413","49.2","22.2","12.7","3.2","9.5","1.6","1.6",".",".",".",".",".",".",".",".","."
"","421
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Appl Categorical Data Anal","Course Total","66","3.417","47.0","25.8","12.1","3.0","9.1","1.5","1.5",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design","424
001","47","3.457","34.0","29.8","31.9","2.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"","431
001","12","2.833","33.3","8.3","33.3","8.3",".",".","16.7",".",".",".",".",".",".",".",".","."
"","002
431","6","2.917","16.7",".","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"","431
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","24","3.000","33.3","8.3","29.2","16.7","4.2",".","8.3",".",".",".",".",".",".",".",".","."
"","433
001","63","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","433
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Data Science with R","Course Total","67","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","443
001","46","3.370","30.4","34.8","23.9","8.7",".",".","2.2",".",".",".",".",".",".",".",".","."
"","443
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Regression Trees","Course Total","48","3.396","33.3","33.3","22.9","8.3",".",".","2.1",".",".",".",".",".",".",".",".","."
"","451
001","66","3.577","53.0","27.3","9.1","4.5","1.5","3.0",".","1.5",".",".",".",".",".",".",".","."
"","451
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","451
003","51","3.147","37.3","15.7","15.7","9.8","17.6","3.9",".",".",".",".",".",".",".",".",".","."
"","451
004","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Machine Learning","Course Total","134","3.459","51.5","20.9","10.4","6.0","7.5","3.0",".","0.7",".",".",".",".",".",".",".","."
"","475
001","9","2.667","22.2",".","11.1","22.2","44.4",".",".",".",".",".",".",".",".",".",".","."
"","002
475","7","2.714","14.3",".","14.3","57.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"","475
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","19","2.579","15.8",".","15.8","31.6","31.6","5.3",".",".",".",".",".",".",".",".",".","."
"Linear Optimization","525
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","541
001","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","541
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Biostatistics","Course Total","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","571
001","48","3.638","39.6","45.8","12.5",".",".",".",".","2.1",".",".",".",".",".",".",".","."
"","571
002","59","3.621","49.2","23.7","25.4",".",".",".",".","1.7",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","107","3.629","44.9","33.6","19.6",".",".",".",".","1.9",".",".",".",".",".",".",".","."
"","601
001","17","3.618","23.5","76.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","44","3.523","20.5","77.3",".",".",".",".","2.3",".",".",".",".",".",".",".",".","."
"Statistical Methods I","Course Total","61","3.549","21.3","77.0",".",".",".",".","1.6",".",".",".",".",".",".",".",".","."
"Data Science Computing Project","605
001","60","3.858","86.7","8.3",".","3.3",".","1.7",".",".",".",".",".",".",".",".",".","."
