"L&S","","","","","","","","","","","","","","","","","","","","",""
"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"STAT
932","Dept. Total","3694","3.290","39.9","19.8","17.5","8.9","8.6","2.2","1.4","1.2","",".","0.0","",".","0.2","0.3",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","58","3.013","29.3","24.1","13.8","17.2","3.4","5.2","6.9",".","",".",".","",".",".",".",".",".","."
"Sophomore","","549","3.194","33.9","17.9","17.9","11.3","15.8","2.0","0.9",".","",".",".","",".",".","0.4",".",".","."
"Junior","","1090","3.103","32.2","17.5","20.4","12.5","11.7","3.7","1.7",".","",".",".","",".",".","0.4",".",".","."
"Senior","","1154","3.268","40.0","19.0","19.2","9.3","8.0","2.3","1.8",".","",".",".","",".","0.2","0.3",".",".","."
"Undergraduates","","2851","3.186","35.6","18.3","19.3","11.0","10.8","2.8","1.7",".","",".",".","",".","0.1","0.3",".",".","."
"Special","","102","3.666","56.9","32.4","5.9","1.0","2.0","2.0",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","733","3.668","53.8","23.9","12.3","1.8","1.0","0.1","0.1","6.0","",".","0.1","",".","0.8","0.1",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","","5","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","8","3.850","87.5",".","12.5",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","3694","3.290","39.9","19.8","17.5","8.9","8.6","2.2","1.4","1.2","",".","0.0","",".","0.2","0.3",".",".","."
