"ENGLISH","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","","",""
"","245
001","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","245
002","","18","3.694","77.8","16.7",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","245
004","","17","3.441","35.3","47.1","5.9","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"","245
005","","18","3.861","88.9","5.6",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","245
006","","18","3.733","55.6","16.7","5.6","5.6",".",".",".",".",".",".",".",".","11.1","5.6",".","."
"Seminar in the Major","Course Total","","85","3.713","65.9","22.4","2.4","2.4","1.2","1.2","1.2",".",".",".",".",".","2.4","1.2",".","."
"Composition & Rhetoric","304
001","","29","3.776","72.4","17.2","6.9",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"","307
001","","13","3.692","92.3",".",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","307
002","","14","3.607","78.6","7.1",".",".","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","307
003","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","","13","3.808","76.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
307","","14","3.714","71.4","7.1","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","006
307","","15","3.700","73.3","6.7","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Creatv Wrtng:Fic&PoetWkshp","Course Total","","84","3.756","82.1","4.8","7.1","1.2","2.4","1.2","1.2",".",".",".",".",".",".",".",".","."
"Structure of English","001
314","","36","3.500","55.6","19.4","8.3","13.9",".",".","2.8",".",".",".",".",".",".",".",".","."
"English Phonology","315
001","","32","3.145","15.6","21.9","37.5","18.8","3.1",".",".",".",".",".",".",".",".","3.1",".","."
"English Lang Variation in U.S.","316
001","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Language Acquisition","318
001","","31","3.952","93.5","3.2","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"British Lit since 1900","001
353","","24","3.208","12.5","37.5","33.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".","."
"Visionary and Speculative Fict","359
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"The Anglo-Saxons","360
001","","16","3.433","43.8","18.8","18.8",".","12.5",".",".","6.3",".",".",".",".",".",".",".","."
"Chicana/o & Latina/o Lit","368
001","","10","3.889","70.0","20.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Race, Sex, and Texts","401
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","403
001","","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","403
002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Writng Across Curriculm","Course Total","","25","4.000","96.0",".",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"Creative Writing: Nonfiction","407
001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","408
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","408
002","","12","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Creative Writing: Fiction","Course Total","","26","3.980","92.3","3.8",".",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"","409
001","","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","409
002","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Poetry","Course Total","","29","3.914","86.2","10.3","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
001","","11","3.773","81.8",".","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","411
002","","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Workshop","Course Total","","25","3.760","72.0","12.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Global Spread of English","414
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to TESOL Methods","415
001","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medieval Romance","425
001","","26","3.740","65.4","15.4","11.5","3.8",".",".",".","3.8",".",".",".",".",".",".",".","."
"Topic in Early Modern Lit","430
001","","30","3.700","73.3","16.7","3.3","3.3",".",".","3.3",".",".",".",".",".",".",".",".","."
