"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","947
043","","1","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","947
045","","1","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Psych Forensic Hosp Setting","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PSYCHIAT
814","Dept. Total","","57","4.000","35.1","",".","",".","",".","",".","",".","",".","64.9","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","","5","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","","","14","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","20","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","2","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","35","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Professionals","","","37","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","57","4.000","35.1","",".","",".","",".","",".","",".","",".","64.9","",".",".","",".","",".","",".",".",".","."
