"LINGUISTICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","","",""
"Human Language","101","001","332","3.648","64.5","16.3","11.1","3.9","2.1","1.5","0.3",".",".",".",".",".","0.3",".",".","."
"Global Language Issues","211","001","6","3.700","50.0","16.7","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Language & Immigration in Wisc","237","001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Phonology","310","001","46","3.411","37.0","32.6","19.6","4.3",".","2.2","2.2",".",".",".",".",".",".","2.2",".","."
"Syntax","330","001","47","3.309","53.2","17.0","8.5","10.6","2.1","2.1","6.4",".",".",".",".",".",".",".",".","."
"Survey-N Amer Indian Languages","371","001","22","3.841","68.2","31.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Linguistics","373","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Language and Culture","430","001","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","481","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","481","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Honors Tutorial","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Advanced Morphology","522","001","12","3.864","66.7","25.0",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","681","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Seminar-Sr Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Capstone in Linguistics","690","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"Research Methods&Materials","800","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","977","100","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","990","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","999","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
