"HUMAN DEVEL & FAMILY STUDI Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"Cultural Diversity of Families","174","001","95","3.716","75.8","6.3","12.6","2.1","1.1","1.1","1.1",".",".",".",".",".",".",".",".","."
"HDFS Leadership Symposium","253","001","134","3.515","57.5","16.4","11.9","3.0","3.7","3.0","1.5",".",".",".",".",".","2.2","0.7",".","."
"Development of Young Child","362","001","234","3.697","66.7","17.1","10.3","2.1","2.6","0.4","0.4","0.4",".",".",".",".",".",".",".","."
"","363","001","236","3.765","71.6","16.9","6.4","1.7","2.1",".","0.4",".",".",".",".",".",".",".","0.8","."
"","363","101","6","2.583","16.7","16.7","33.3",".","16.7",".","16.7",".",".",".",".",".",".",".",".","."
"Develp: Adolescence-Old Age","","Course Total","242","3.735","70.2","16.9","7.0","1.7","2.5",".","0.8",".",".",".",".",".",".",".","0.8","."
"Rsch Meth in Hum Devel&Fam St","425","001","39","3.855","84.6","5.1","2.6","2.6","2.6",".",".",".",".",".",".",".",".","2.6",".","."
"Play-Devlpmt & Role-Lifespan","464","001","27","3.907","92.6","3.7",".",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Family&Com Influences-Child","469","001","39","3.908","84.6","7.7","5.1",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"Racial Ethnic Families in U.S.","474","002","40","3.888","85.0","10.0","2.5","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","501","002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Stress and Resilience","516","001","39","3.474","48.7","17.9","17.9","10.3","5.1",".",".",".",".",".",".",".",".",".",".","."
"Couple Relationships","517","001","46","3.707","80.4","6.5","6.5",".","2.2","2.2","2.2",".",".",".",".",".",".",".",".","."
"Research Experience in HDFS","592","011","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","601","001","34","3.838","82.4","11.8",".","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"Parent Educ & Support Programs","650","001","35","3.779","77.1","2.9","11.4","5.7",".",".",".",".",".",".",".",".","2.9",".",".","."
"Adv Study of Young Child","662","001","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Developmental & Fam Assessment","663","001","31","3.823","90.3","3.2","3.2",".",".",".","3.2",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","680","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","699","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Family Theory I (Survey)","865","001","22","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bridging Gap: Rsch & Action","872","001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prevention Science","880","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","033","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","040","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","044","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","045","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","19","",".",".",".",".",".",".",".","89.5",".",".",".","10.5",".",".",".","."
