"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"Appl Dyn Sys, Chaos&Modelng","415
001","32","3.234","34.4","25.0","12.5","9.4","18.8",".",".",".",".",".",".",".",".",".",".","."
"","421
001","36","3.111","30.6","13.9","30.6","8.3","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"","003
421","21","2.900","9.5","9.5","42.9","19.0","14.3",".",".",".",".",".",".",".","4.8",".",".","."
"","421
004","20","3.425","55.0","10.0","10.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Theory of Single Variable Calc","Course Total","77","3.138","31.2","11.7","28.6","13.0","11.7","2.6",".",".",".",".",".",".","1.3",".",".","."
"","431
001","26","3.040","42.3","3.8","11.5","3.8","30.8","3.8",".",".",".",".",".",".",".",".","3.8","."
"","002
431","33","3.172","42.4","15.2","15.2","6.1","9.1","6.1","3.0",".","3.0",".",".",".",".",".",".","."
"","003
431","27","3.111","33.3","11.1","25.9","11.1","14.8","3.7",".",".",".",".",".",".",".",".",".","."
"","431
004","23","2.870","34.8","8.7","26.1","8.7","8.7",".","13.0",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","109","3.061","38.5","10.1","19.3","7.3","15.6","3.7","3.7",".","0.9",".",".",".",".",".","0.9","."
"Introduction to Cryptography","435
001","22","3.381","22.7","40.9","22.7","4.5","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"Introduction to Number Theory","467
001","35","2.986","25.7","11.4","17.1","25.7","20.0",".",".",".",".",".",".",".",".",".",".","."
"","475
001","21","3.571","61.9","4.8","23.8","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","002
475","21","2.850","28.6",".","14.3","19.0","33.3",".",".","4.8",".",".",".",".",".",".",".","."
"","003
475","16","3.281","50.0","6.3","31.3",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","58","3.237","46.6","3.4","22.4","8.6","15.5",".","1.7","1.7",".",".",".",".",".",".",".","."
"","490
027","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
066","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
107","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
108","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
164","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
172","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
193","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
196","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
200","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
201","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
202","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
203","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
204","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Seminar","Course Total","49","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Numerical Analysis","514
001","29","2.879","17.2","17.2","31.0","6.9","20.7","6.9",".",".",".",".",".",".",".",".",".","."
"","521
001","41","3.524","56.1","14.6","14.6","7.3","7.3",".",".",".",".",".",".",".",".",".",".","."
"","521
002","32","3.104","21.9","15.6","15.6","6.3","12.5","3.1",".",".",".",".",".",".","25.0",".",".","."
"","521
003","42","3.643","59.5","14.3","21.4","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","521
004","19","3.579","63.2","10.5","10.5","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","521
005","26","3.231","53.8","7.7","11.5","7.7","11.5","3.8","3.8",".",".",".",".",".",".",".",".","."
"Analysis I","Course Total","160","3.447","50.6","13.1","15.6","6.9","6.9","1.3","0.6",".",".",".",".",".","5.0",".",".","."
"","522
001","26","3.160","38.5","11.5","23.1","11.5","3.8","3.8","3.8",".",".",".",".",".","3.8",".",".","."
"","522
002","13","4.000","92.3",".",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Analysis II","Course Total","39","3.432","56.4","7.7","15.4","7.7","2.6","2.6","2.6","2.6",".",".",".",".","2.6",".",".","."
"Linear Optimization","525
001","22","3.136","31.8","22.7","13.6","13.6","13.6","4.5",".",".",".",".",".",".",".",".",".","."
"Math Methods in Data Science","535
001","53","3.450","43.4","13.2","30.2",".","7.5",".",".","1.9",".",".",".",".",".","3.8",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","Page 295 of 467",""
