"COMPUTER SCIENCES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","","",""
"","702","138","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","702","142","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","702","144","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","702","145","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","702","155","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","702","156","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","702","160","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","702","163","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","702","165","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate Cooperative Education","","Course Total","","25","",".",".",".",".",".",".",".","96.0",".",".",".",".",".",".","4.0","."
"Program Verification&Synthesis","703","001","","25","3.800","64.0","32.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mobile and Wireless Networking","707","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Computatnl Math I","714","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Dynamic Prog & Assoc Topics","723","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Nonlinear Optimization I","726","001","","29","3.500","27.6","44.8","13.8","6.9",".",".",".","6.9",".",".",".",".",".",".",".","."
"Nonlinear Optimization II","730","001","","17","3.588","41.2","35.3","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Operating Systems","736","001","","28","3.788","57.1","32.1","3.6",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Advanced Computer Networks","740","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Big Data Systems","744","001","","87","3.959","90.8","5.7","1.1",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"Adv Computer Architecture I","752","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Computr Architecture II","757","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"HPC for Apps in Engr","759","001","","61","3.908","85.2","9.8","1.6","1.6",".",".",".","1.6",".",".",".",".",".",".",".","."
"Machine Learning","760","001","","65","3.823","64.6","35.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Deep Learning","762","001","","45","3.922","86.7","11.1","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Database Mgt Systems","764","001","","48","3.990","97.9","2.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Visualization","765","001","","60","3.617","33.3","56.7","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human-Computer Interaction","770","001","","47","3.713","55.3","31.9","12.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lrning Based Mthds for Com Vis","771","001","","38","3.908","84.2","13.2","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computational Network  Biology","775","001","","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Cmpr Sec & Prvcy","782","001","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Master's Thesis","790","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","002","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","799","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","005","","11","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"","799","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","","Page 224 of 467",""
