"","ASIAN LANG & CULTURE: LANG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","","","",""
"Third Semester Korean","205","001","","44","3.466","47.7","20.5","18.2","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Asian Language","221","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","223","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","223","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Filipino","","Course Total","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Hmong","225","001","","17","3.618","82.4","5.9",".",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"Third Semester Indonesian","227","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Thai","229","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Vietnamese","231","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Hindi","233","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Modern Tibetan","235","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Persian","237","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Urdu","239","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","301","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301","002","","17","3.647","64.7","17.6","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","301","003","","12","3.409","33.3","33.3","8.3","8.3","8.3",".",".",".",".",".",".",".","8.3",".",".","."
"Fifth Semester Chinese","","Course Total","","39","3.618","56.4","23.1","7.7","5.1","5.1",".",".",".",".",".",".",".","2.6",".",".","."
"","303","002","","23","3.545","43.5","34.8","4.3","8.7","4.3",".",".",".",".",".",".",".","4.3",".",".","."
"","303","003","","22","3.727","59.1","27.3","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"5th Semester Japanese","","Course Total","","45","3.636","51.1","31.1","8.9","4.4","2.2",".",".",".",".",".",".",".","2.2",".",".","."
"Fifth Semester Korean","305","001","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st Semester Classical Chinese","311","001","","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Japanese","313","001","","10","3.250","70.0",".",".","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"1st Semester Classical Chinese","315","001","","17","3.765","58.8","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Filipino","323","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Hmong","325","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Thai","329","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Vietnamese","331","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Tibetan","335","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Persian","337","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Urdu","339","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Indonesian","348","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","355","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","355","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","355","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","355","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","355","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","355","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","355","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","355","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","","Page 189 of 467",""
