"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","205
001","55","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","205
002","62","",".",".",".",".",".",".",".","1.6",".","95.2","3.2",".",".",".",".","."
"Financial Modeling in Excel","Course Total","117","",".",".",".",".",".",".",".","0.9",".","97.4","1.7",".",".",".",".","."
"","300
001","103","2.941","21.4","18.4","19.4","18.4","14.6","4.9","1.0",".",".",".",".",".","1.0",".","1.0","."
"","300
002","166","3.073","32.5","13.9","18.1","19.9","10.2","2.4","2.4",".",".",".",".",".","0.6",".",".","."
"","300
003","92","3.083","27.2","20.7","19.6","13.0","13.0","3.3","1.1","1.1",".",".",".",".","1.1",".",".","."
"","300
004","89","2.843","16.9","18.0","27.0","11.2","20.2","4.5","2.2",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","450","2.999","25.8","17.1","20.4","16.4","13.8","3.6","1.8","0.2",".",".",".",".","0.7",".","0.2","."
"","305
001","56","3.473","25.0","48.2","23.2","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","58","3.603","39.7","46.6","10.3","1.7","1.7",".",".",".",".",".",".",".",".",".",".","."
"","305
003","58","3.647","51.7","29.3","15.5","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","305
004","66","3.515","56.1","13.6","19.7","4.5","4.5",".","1.5",".",".",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","Course Total","238","3.559","43.7","33.6","17.2","3.4","1.7",".","0.4",".",".",".",".",".",".",".",".","."
"","320
001","45","3.033","11.1","17.8","44.4","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"","320
002","58","3.439","25.9","41.4","24.1","6.9",".",".",".",".",".",".",".",".","1.7",".",".","."
"","003
320","59","3.475","27.1","40.7","32.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
320","49","3.041","16.3","14.3","42.9","14.3","12.2",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","211","3.269","20.9","29.9","35.1","9.5","4.3",".",".",".",".",".",".",".","0.5",".",".","."
"","001
325","54","3.343","31.5","20.4","35.2","11.1","1.9",".",".",".",".",".",".",".",".",".",".","."
"","325
002","52","3.375","25.0","40.4","23.1","7.7","3.8",".",".",".",".",".",".",".",".",".",".","."
"","325
003","56","3.167","21.4","10.7","46.4","14.3","3.6",".",".",".",".",".",".",".","3.6",".",".","."
"","004
325","63","3.397","27.0","31.7","34.9","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","325
005","26","3.192","30.8","11.5","38.5","11.5","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","251","3.309","26.7","24.3","35.5","10.0","2.4","0.4",".",".",".",".",".",".","0.8",".",".","."
"","330
001","32","3.484","56.3","9.4","15.6","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","330
002","57","3.393","24.6","31.6","38.6","3.5",".",".",".",".",".",".",".",".","1.8",".",".","."
"","003
330","39","3.269","38.5","17.9","17.9","10.3","15.4",".",".",".",".",".",".",".",".",".",".","."
"","330
004","55","3.318","25.5","23.6","40.0","10.9",".",".",".",".",".",".",".",".",".",".",".","."
"","330
099","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Derivative Securities","Course Total","185","3.356","33.0","22.2","31.4","8.6","4.3",".",".",".",".",".",".",".","0.5",".",".","."
"","365
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
002","14","3.536","42.9","21.4","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","005
365","11","3.300","27.3","27.3","18.2","9.1","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"","365
007","24","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
008","20","3.725","80.0","5.0",".","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","009
365","7","3.500","14.3","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","83","3.597","47.0","31.3","14.5","3.6","2.4",".",".","1.2",".",".",".",".",".",".",".","."
"Reading & Research-Finance","399
054","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Bank Management","001
410","48","3.302","22.9","31.3","33.3","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"","420
001","17","3.382","47.1","17.6","29.4",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","420
002","23","3.370","21.7","34.8","39.1","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","Page 54 of 467"
