"","990
015","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
016","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Thesis Research","Course Total","13","",".",".",".",".",".",".",".","38.5","",".",".","",".","61.5",".",".",".","."
"Independent Research","999
001","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"ASIAN
185","Dept. Total","723","3.643","59.8","19.2","8.9","4.3","1.4","0.3","1.1","1.2","",".",".","",".","1.2","1.4","0.6","0.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"185
ASIAN","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","120","3.374","40.8","25.8","15.8","10.8","4.2","0.8","1.7",".","",".",".","",".",".",".",".",".","."
"Sophomore","","139","3.500","47.5","23.7","17.3","7.2","1.4","0.7","0.7",".","",".",".","",".",".",".","1.4",".","."
"Junior","","138","3.728","63.8","23.9","6.5","2.2","0.7",".","0.7",".","",".",".","",".",".","2.2",".",".","."
"Senior","","236","3.744","72.5","16.1","5.1","2.1","0.8",".","1.7",".","",".",".","",".","0.4","0.8",".","0.4","."
"Undergraduates","","633","3.612","59.1","21.3","10.1","4.9","1.6","0.3","1.3",".","",".",".","",".","0.2","0.8","0.3","0.2","."
"Special","","9","3.750","11.1","11.1",".",".",".",".",".","44.4","",".",".","",".",".","11.1","22.2",".","."
"Graduate","","81","3.978","70.4","3.7",".",".",".",".",".","6.2","",".",".","",".","9.9","4.9",".","4.9","."
"","Dept. Total","723","3.643","59.8","19.2","8.9","4.3","1.4","0.3","1.1","1.2","",".",".","",".","1.2","1.4","0.6","0.7","."
