"ZOOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","",""
"Intro to Animal Development","470
001","","156","2.888","23.1","12.8","23.1","14.7","20.5","4.5","1.3",".",".",".",".",".",".",".",".","."
"Modeling Animal Landscapes","504
001","","17","3.553","35.3","52.9","5.9",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes","510
001","","71","2.944","21.1","7.0","39.4","12.7","16.9","1.4","1.4",".",".",".",".",".",".",".",".","."
"","511
001","","17","3.471","35.3","35.3","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","511
002","","22","2.977","22.7","13.6","27.3","18.2","13.6","4.5",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes Lab","Course Total","","39","3.192","28.2","23.1","23.1","15.4","7.7","2.6",".",".",".",".",".",".",".",".",".","."
"Ornithology","520
001","","70","2.920","25.7","14.3","14.3","18.6","20.0","5.7",".","1.4",".",".",".",".",".",".",".","."
"","521
006","","6","3.000","33.3","16.7","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".","."
"","521
007","","18","3.250","50.0","11.1","11.1","16.7","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","521
008","","12","3.125","58.3",".","8.3","8.3","8.3","16.7",".",".",".",".",".",".",".",".",".","."
"","521
009","","14","3.393","35.7","28.6","14.3","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"Field Ornithology","Course Total","","50","3.230","46.0","14.0","12.0","16.0","4.0","6.0","2.0",".",".",".",".",".",".",".",".","."
"Neurobi II:Intr-Brain&Behav","524
001","","50","3.400","42.0","18.0","30.0","2.0","6.0","2.0",".",".",".",".",".",".",".",".",".","."
"Insect Behavior","530
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Principles-Landscape Ecology","565
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Laboratory in Cell Biology","572
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comparatv&Evolutionry Physiol","611
001","","61","3.275","34.4","29.5","16.4","8.2","4.9","1.6","3.3","1.6",".",".",".",".",".",".",".","."
"Comparative Physiology Lab","612
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Development of Nervous Sys","625
001","","38","3.289","44.7","15.8","21.1",".","15.8",".","2.6",".",".",".",".",".",".",".",".","."
"Conservation Biology","651
001","","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship in Ecology","677
001","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","680
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","680
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Seminar","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","8","3.840","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691
063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692
024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692
033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692
068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","699
008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","","10","3.941","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","","9","3.970","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
024","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
