"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","170","3.211","22.9","20.0","34.7","18.2","2.9",".",".","0.6",".",".",".",".",".","0.6",".","."
"","300
002","261","3.202","19.5","21.8","38.7","18.0","0.4",".","0.4","1.1",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","431","3.205","20.9","21.1","37.1","18.1","1.4",".","0.2","0.9",".",".",".",".",".","0.2",".","."
"","305
001","37","3.162","21.6","21.6","35.1","10.8","10.8",".",".",".",".",".",".",".",".",".",".","."
"","305
002","42","3.333","21.4","40.5","26.2","7.1","4.8",".",".",".",".",".",".",".",".",".",".","."
"","305
004","44","3.314","31.8","25.0","25.0","4.5","11.4",".",".","2.3",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","123","3.275","25.2","29.3","28.5","7.3","8.9",".",".","0.8",".",".",".",".",".",".",".","."
"","310
001","48","3.667","43.8","45.8","10.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","35","3.243","14.3","42.9","31.4",".","11.4",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","83","3.488","31.3","44.6","19.3",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","365
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
001","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","16","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","28","3.741","60.7","21.4","14.3",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"","399
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
138","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
154","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
223","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","4","***","","","","","","","","","","","","","","","",""
"","415
001","44","3.952","88.6","4.5","2.3",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","415
002","41","3.878","92.7","4.9",".",".",".",".","2.4",".",".",".",".",".",".",".",".","."
"Marketing Communications","Course Total","85","3.916","90.6","4.7","1.2",".",".",".","1.2","2.4",".",".",".",".",".",".",".","."
"","430
001","36","3.681","41.7","52.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","430
002","40","3.588","25.0","72.5",".",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"Product & Price Management","Course Total","76","3.632","32.9","63.2","2.6",".","1.3",".",".",".",".",".",".",".",".",".",".","."
"","460
001","43","3.407","25.6","37.2","30.2","7.0",".",".",".",".",".",".",".",".",".",".",".","."
"","460
002","39","3.628","35.9","53.8","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
003","45","3.389","11.1","55.6","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","127","3.469","23.6","48.8","25.2","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Sales Management","635
001","49","3.898","81.6","16.3","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","46","3.163","21.7","19.6","34.8","6.5","8.7","2.2",".","6.5",".",".",".",".",".",".",".","."
"","640
002","48","3.085","16.7","25.0","25.0","20.8","10.4",".",".","2.1",".",".",".",".",".",".",".","."
"Retail Management","Course Total","94","3.122","19.1","22.3","29.8","13.8","9.6","1.1",".","4.3",".",".",".",".",".",".",".","."
"Logistics Strategies","646
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Marketing Management","700
030","33","3.379","12.1","51.5","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","715
001","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing Strategy","720
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","730
001","24","3.750","45.8","45.8",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","730
030","38","3.566","26.3","60.5","13.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Product & Price Management","Course Total","62","3.633","33.9","54.8","8.1",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"","765
001","15","3.633","33.3","60.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","20","3.725","50.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
052","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 60 of 407"
