"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"N E","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","9","",".",".",".",".",".",".",".",".","",".","100.0",".",".","",".",".",".","."
"Sophomore","","15","",".",".",".",".",".",".",".",".","",".","93.3","6.7",".","",".",".",".","."
"Junior","","20","3.469","30.0","25.0","15.0","10.0",".",".",".",".","",".","20.0",".",".","",".",".",".","."
"Senior","","151","3.260","27.8","26.5","25.2","9.9","6.6","2.0","0.7",".","",".","1.3",".",".","",".",".",".","."
"Undergraduates","","195","3.279","24.6","23.1","21.0","8.7","5.1","1.5","0.5",".","",".","14.9","0.5",".","",".",".",".","."
"Special","","5","2.300",".",".","60.0","20.0",".",".","20.0",".","",".",".",".",".","",".",".",".","."
"Graduate","","121","3.553","27.3","14.9","14.0","1.7","0.8",".",".","40.5","",".",".",".","0.8","",".",".",".","."
"","Dept. Total","321","3.336","25.2","19.6","19.0","6.2","3.4","0.9","0.6","15.3","",".","9.0","0.3","0.3","",".",".",".","."
