"POLITICAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"698","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","36","3.964","91.7","5.6",".",".",".",".",".",".",".",".",".",".","2.8",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","6","3.932","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","21","3.071","14.3","23.8","28.6","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","099","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","224","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","81","3.700","69.1","12.3","7.4","8.6",".",".",".",".",".",".",".",".","1.2","1.2",".","."
"817
Empir Method Pol Inquiry:Quant","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"823
Political Psychology","001","","21","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"831
Concepts-Political Theory","001","","9","3.857","55.6","22.2",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"835
Game Theory&Political Analysis","001","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"841
Smr-Internatnl Bus & Gov","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"856
Field Smr-Comparative Politics","001","","11","3.800","54.5","36.4",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"860
Authoritarianism&Its Aftermath","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"865
Supreme Court&Const-Am Pol","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"866
Global Environmentl Governance","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Topics in Political Science","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"904
Seminar-American Politics","001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"919","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sem-Adv Methodology","Course Total","","4","***","","","","","","","","","","","","","","","",""
"940
Domestic Pol of Intl Relations","001","","12","3.909","75.0","16.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"948
Smr:Topics in Comp Politics","001","","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"960
Smr-International Relations","001","","9","4.000","66.7",".",".",".",".",".",".","11.1",".",".",".",".","11.1",".","11.1","."
"963
Seminar: Law and Politics","001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".","14.3",".","."
"974","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"974","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Public Affairs","Course Total","","5","***","","","","","","","","","","","","","","","",""
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
