"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","157","3.183","17.2","31.8","30.6","13.4","5.1","0.6","0.6","0.6",".",".",".",".",".",".",".","."
"","301
002","129","3.636","56.6","25.6","10.9","5.4","0.8",".","0.8",".",".",".",".",".",".",".",".","."
"","301
003","25","3.750","56.0","32.0","8.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","311","3.416","36.7","29.3","20.6","9.0","2.9","0.3","0.6","0.6",".",".",".",".",".",".",".","."
"","320
001","160","3.619","60.0","18.8","13.8","3.8","2.5","0.6","0.6",".",".",".",".",".",".",".",".","."
"","320
002","98","3.604","46.9","26.5","23.5",".","1.0",".",".","2.0",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","Course Total","258","3.613","55.0","21.7","17.4","2.3","1.9","0.4","0.4","0.8",".",".",".",".",".",".",".","."
"Human Develop-Adolescence","321
001","183","3.697","73.2","7.1","8.7","2.7","4.4",".","1.1","2.7",".",".",".",".",".",".",".","."
"","699
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
022","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
026","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
064","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","12","3.929","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Research in Ed Psyc II","710
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
001","9","3.688","44.4","33.3","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","711
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","33","3.917","84.8","9.1","3.0",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"Adolescent Development","721
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","6","3.700","33.3","50.0",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Assessment Tech-Schools I","740
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment Tech-Schools II","741
001","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Lrng&Lang Disability-Chldrn","742
001","8","3.688","75.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","761
001","36","3.792","72.2","13.9","13.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
002","24","3.761","62.5","20.8","12.5",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Stat Meth-Applied to Ed II","Course Total","60","3.780","68.3","16.7","13.3",".",".",".",".","1.7",".",".",".",".",".",".",".","."
"Scaling, Factr&Cluster Anal","773
001","27","3.827","66.7","25.9","3.7",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"Cognition&Classrm Learng II","796
001","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","840
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychophm Treat-Chld&Adolescnt","845
001","18","3.794","72.2","11.1","5.6","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"Multivariate Analysis","862
001","9","3.563","44.4","11.1","33.3",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Capstone Smr in Prevention Sci","881
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sysms-Consltn in Schl Psych","942
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internshp-School Psychology","943
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evaluation Research","945
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 94 of 407"
