"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"VET","","","","","","","","","","","","","","","","","","","","",""
"VET","College Total","3420","3.353","26.6","9.7","15.6","3.5","3.5","0.4","",".","39.9","",".",".",".","0.3","0.3",".","0.2","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","NW","NR","Other"
"VET","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Sophomore","","9","3.150","44.4","11.1","22.2",".","11.1","11.1","",".",".","",".",".",".",".",".",".",".","."
"Junior","","23","3.637","65.2","13.0","8.7","4.3","4.3",".","",".",".","",".",".",".",".",".",".","4.3","."
"Senior","","45","3.324","44.4","8.9","28.9","11.1","2.2","2.2","",".",".","",".",".",".",".","2.2",".",".","."
"Undergraduates","","77","3.389","50.6","10.4","22.1","7.8","3.9","2.6","",".",".","",".",".",".",".","1.3",".","1.3","."
"Special","","11","3.500","18.2","9.1","18.2",".",".",".","",".","45.5","",".",".",".",".",".",".","9.1","."
"Graduate","","88","3.468","13.6","8.0","6.8",".","1.1",".","",".","65.9","",".",".",".","3.4",".",".","1.1","."
"Prof Yr 1","","710","3.218","17.3","16.1","23.5","4.1","5.4","1.0","",".","31.4","",".",".",".","0.6","0.7",".",".","."
"Prof Yr 2","","807","3.321","25.4","12.8","23.4","5.2","4.7","0.1","",".","27.4","",".",".",".","0.2","0.6",".","0.1","."
"Prof Yr 3","","928","3.251","24.7","10.8","16.1","4.7","4.3","0.2","",".","39.2","",".",".",".",".",".",".",".","."
"Prof Yr 4","","800","3.989","37.6",".","0.4",".",".",".","",".","61.8","",".",".",".",".",".",".","0.3","."
"Professionals","","3245","3.350","26.4","9.8","15.7","3.5","3.6","0.3","",".","40.1","",".",".",".","0.2","0.3",".","0.1","."
"","College Total","3421","3.353","26.6","9.7","15.6","3.5","3.5","0.4","",".","39.9","",".",".",".","0.3","0.3",".","0.2","."
