"ALS","","","","","","","","","","","","","","","","","","","","","","","",""
"PLANT PATHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","","","","","",""
"PL PATH
766","Dept. Total","139","3.498","37.4","12.2","10.8","3.6","2.9","",".","",".","28.1","",".",".","",".","5.0","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","6","3.500","16.7","66.7","16.7",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","12","3.382","25.0","41.7","25.0",".","8.3","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","10","3.556","60.0","10.0","20.0","10.0",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","12","3.086","33.3","8.3","41.7",".","16.7","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","40","3.366","35.0","27.5","27.5","2.5","7.5","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","5","3.000","40.0","20.0",".","20.0","20.0","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","94","3.680","38.3","5.3","4.3","3.2",".","",".","",".","41.5","",".",".","",".","7.4","",".",".",".","."
"","Dept. Total","139","3.498","37.4","12.2","10.8","3.6","2.9","",".","",".","28.1","",".",".","",".","5.0","",".",".",".","."
