"FOOD SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","",""
"120","001","","315","3.244","32.7","27.3","17.1","10.8","6.3","2.9","1.6","1.3",".",".",".",".",".",".",".","."
"120","002","","284","3.215","31.0","21.5","21.8","12.3","6.0","2.8","1.1","3.5",".",".",".",".",".",".",".","."
"Science of Food","Course Total","","599","3.231","31.9","24.5","19.4","11.5","6.2","2.8","1.3","2.3",".",".",".",".",".",".",".","."
"201
Introduction to Food Science","001","","40","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"235
Nature of Food","001","","105","2.990","24.8","8.6","35.2","10.5","15.2","4.8",".","1.0",".",".",".",".",".",".",".","."
"236","001","","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"236","002","","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"236","003","","13","3.846","84.6",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nature of Food - Laboratory","Course Total","","44","3.886","86.4","4.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"305
Intro-Meat Sci & Technology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"321
Food Laws and Regulations","001","","93","3.349","23.7","41.9","19.4","12.9","1.1","1.1",".",".",".",".",".",".",".",".",".","."
"410
Food Chemistry I","001","","31","3.161","25.8","25.8","12.9","32.3",".","3.2",".",".",".",".",".",".",".",".",".","."
"438
Food Service Operations Lab","001","","13","3.846","92.3",".",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"441
Rheology of Foods&Biomaterials","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"464
Stat-Food Indst Qual Contrl","001","","11","3.200","18.2","18.2","45.5",".","9.1",".",".",".",".",".",".",".",".",".",".","9.1"
"511
Chem & Technol-Dairy Products","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"514
Food Chemistry II","001","","14","3.393","21.4","42.9","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"532
Food Processing II","001","","35","3.171","22.9","17.1","42.9","5.7","11.4",".",".",".",".",".",".",".",".",".",".","."
"537
Org&Mgmt-Nutritn&Food Serv","001","","57","3.202","10.5","33.3","42.1","14.0",".",".",".",".",".",".",".",".",".",".",".","."
"542
Food Engineering Operations","001","","20","3.250","35.0","15.0","35.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"600
Prof Practice in Food Sci","001","","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"611
Chem & Technol-Dairy Products","001","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"650
Adv Microbiol/Food Pathgens","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","15","3.981","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Practicum-Food Sci Teaching","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Seminar Advanced","001","","36","3.556","11.1","5.6","8.3",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 21 of 407"
