"SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"698","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","38","3.856","84.2","5.3","2.6",".",".",".","2.6",".",".",".",".",".","2.6",".",".","2.6"
"699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","54","3.893","87.0","3.7","1.9",".",".",".","1.9",".",".",".",".",".","3.7",".",".","1.9"
"750
Research Methods-Sociology","001","","28","3.889","78.6","14.3","3.6",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"804
Interdis W Europ Studies Sm","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","005","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"875","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"901","001","","9","4.000","77.8",".",".",".",".",".",".","11.1",".",".",".",".","11.1",".",".","."
"901","070","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr: Topics in Current Soc","Course Total","","13","4.000","84.6",".",".",".",".",".",".","7.7",".",".",".",".","7.7",".",".","."
"904
Sociological Perspectvs-Gender","001","","12","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"908
Smr-Sociology of Education","001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"913
Seminar-Social Change","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"915
Seminar-Sociological Theory","001","","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"920
Seminar: Organizations Theory","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"940
Smr: Sociol-Econ Change","001","","18","3.971","88.9","5.6",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"945
Seminar-Rural Sociology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"948
Seminar: Environmental Sociol","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"952
Math&Stat Applications-Soc","001","","21","3.750","47.6","33.3","4.8",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"971
Smr:Topics-Demography&Ecol","001","","14","3.885","78.6","7.1","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"977
Seminar-Human Ecology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"983
Rsch:Economic Sociology Wrkshp","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"984
Rsch:Sociol of Gender Trainees","001","","14","4.000","14.3",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","."
"985
Rsch:Soc-Envir, Tech, Agrofood","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"987
Rsch: Race & Ethnic Studies","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 306 of 407",""
