"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"198
008","13","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"198
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"198
014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"198
016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"198
017","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
018","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
019","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
020","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"198
022","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
025","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
031","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
038","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
081","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
083","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
085","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
086","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
089","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Directed Study","137","",".",".",".",".",".",".",".",".",".","98.5","1.5",".",".",".",".","."
"199
012
Directed Study","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200
001
Critical Thinkng & Expressn","57","3.175","14.0","47.4","26.3","5.3","1.8",".","5.3",".",".",".",".",".",".",".",".","."
"201
001
W Culture:Sci,Tech,Philos I","69","3.331","26.1","33.3","31.9","2.9","1.4","1.4","1.4","1.4",".",".",".",".",".",".",".","."
"202
001
W Culture:Sci,Tech,Phil II","105","3.144","18.1","23.8","38.1","12.4","3.8","2.9",".",".",".",".",".",".",".","1.0",".","."
"204
001","160","3.419","43.1","21.9","19.4","9.4","5.6",".","0.6",".",".",".",".",".",".",".",".","."
"204
002","24","3.538","20.8","25.0","4.2",".","4.2",".",".","41.7",".",".",".",".","4.2",".",".","."
"Course Total
West Cult: Lit&The Arts II","184","3.428","40.2","22.3","17.4","8.2","5.4",".","0.5","5.4",".",".",".",".","0.5",".",".","."
"206
001
W Cul:Pol,Econ&Soc Thght II","285","3.110","12.3","29.1","35.4","15.8","4.9","1.1","0.4","1.1",".",".",".",".",".",".",".","."
"208
001
Hist of Western Culture II","33","2.677","9.1","9.1","42.4","9.1","15.2","3.0","6.1","6.1",".",".",".",".",".",".",".","."
"234
001
Genres-Westrn Relig Writing","30","3.467","50.0","20.0","20.0","6.7",".",".","3.3",".",".",".",".",".",".",".",".","."
"251
001
Contemporary Phy Sciences","18","3.206","22.2","27.8","16.7","22.2","5.6",".",".",".",".",".",".",".",".","5.6",".","."
"275
001","16","3.733","50.0","37.5","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"275
002","29","3.690","55.2","31.0","10.3","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Special Topics in ILS","45","3.705","53.3","33.3","8.9","2.2",".",".",".","2.2",".",".",".",".",".",".",".","."
"400
001","22","3.909","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"400
002","22","3.545","40.9","27.3","31.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Capstone Integration Seminar","44","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"401
001
Global Culture Capstone Smr","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"490
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"490
019","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"490
056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"490
076","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Rsch-Integrated LiberalStudies","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
