"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"Research","Course Total","75","",".",".",".",".",".",".",".","96.0",".",".",".","2.7",".","1.3",".","."
"MICROBIO
192","Dept. Total","1177","3.109","28.2","17.2","21.7","8.6","10.5","2.0","1.1","10.1","0.2",".",".","0.2","0.1","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"Freshmen","","14","2.893",".","50.0","21.4",".","21.4","7.1",".",".",".",".",".",".",".",".",".","."
"Sophomore","","119","2.775","16.0","17.6","22.7","16.0","19.3","6.7","1.7",".",".",".",".",".",".",".",".","."
"Junior","","274","2.935","22.6","20.4","25.9","10.2","15.0","2.2","2.9",".","0.4",".",".",".",".","0.4",".","."
"Senior","","460","3.142","32.2","18.9","25.0","9.8","11.3","2.0","0.7",".",".",".",".",".","0.2",".",".","."
"Undergraduates","","867","3.009","26.4","19.7","24.9","10.6","13.7","2.8","1.5",".","0.1",".",".",".","0.1","0.1",".","."
"Special","","9","3.479","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","213","3.720","29.6","6.1","6.1","0.9",".",".",".","55.4","0.5",".",".","0.9",".","0.5",".","."
"Prof Yr 1","","85","3.400","41.2","17.6","27.1","8.2","5.9",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","","3","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Professionals","","88","3.405","42.0","17.0","26.1","8.0","5.7",".",".","1.1",".",".",".",".",".",".",".","."
"","Dept. Total","1177","3.109","28.2","17.2","21.7","8.6","10.5","2.0","1.1","10.1","0.2",".",".","0.2","0.1","0.2",".","."
