"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"BMOLCHEM","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Junior","46","3.178","32.6","26.1","19.6","8.7","8.7","2.2","2.2",".","",".",".","",".",".","",".",".",".","."
"Senior","137","3.194","34.3","22.6","26.3","4.4","6.6","4.4","1.5",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","184","3.188","33.7","23.4","25.0","5.4","7.1","3.8","1.6",".","",".",".","",".",".","",".",".",".","."
"Graduate","161","3.833","49.7","5.0","1.2","1.2","0.6",".",".","37.3","",".",".","",".","5.0","",".",".",".","."
"Prof Yr 3","2","4.000","50.0",".",".",".",".",".",".",".","",".",".","",".","50.0","",".",".",".","."
"Prof Yr 4","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".","",".",".",".","."
"Professionals","3","4.000","33.3",".",".",".",".",".",".","33.3","",".",".","",".","33.3","",".",".",".","."
