"LITERATURE IN TRANSLATION","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran II","202","001","","76","3.553","57.9","26.3","10.5",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"19&20 C Russian Lit Tran II","204","001","","71","3.254","26.8","36.6","19.7","8.5","4.2","1.4","2.8",".",".",".",".",".",".",".",".","."
"Masterpieces-Fr Lit & Culture","209","001","","40","3.613","40.0","42.5","17.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Indian Lits in Trans","212","001","","12","3.542","25.0","66.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Luso-Afro-Brazilian Lit","226","001","","14","3.000","35.7","21.4","21.4","7.1",".",".","14.3",".",".",".",".",".",".",".",".","."
"Soviet Life&Cult (1917 on)","234","001","","28","3.495","39.3","32.1","17.9",".","3.6","3.6",".","3.6",".",".",".",".",".",".",".","."
"Biblical Poetry in Translation","237","001","","7","3.214","42.9","14.3","14.3",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"Soviet Lit in Translation","240","001","","20","3.868","75.0","15.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Lit & Culture-Eastrn Europe","241","001","","9","3.278",".","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lits of Muslim Societies-Trans","257","001","","18","3.583","27.8","61.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Chinese Lit in Trans","262","001","","23","3.750","69.6","13.0","8.7",".","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"Survey-Japanese Lit in Tran","264","001","","44","3.128","11.4","40.9","15.9","20.5","9.1",".",".",".",".",".",".",".",".",".",".","2.3"
"Fr Womn Writrs Mid Ages-19c","268","001","","17","3.433","23.5","41.2","11.8","11.8",".",".",".","5.9",".",".",".",".",".","5.9",".","."
"Urdu Prose Fic-Ind&Pak/Tran","273","001","","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275","001","","93","3.453","26.9","44.1","19.4","6.5","1.1","1.1",".","1.1",".",".",".",".",".",".",".","."
"","275","002","","301","3.315","17.9","43.2","23.9","9.3","2.0","0.7","0.7","2.3",".",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","","Course Total","","394","3.348","20.1","43.4","22.8","8.6","1.8","0.8","0.5","2.0",".",".",".",".",".",".",".","."
"Mod Indonesian Lit in Tran","301","001","","6","3.333","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Scandinavian Children's Lit","319","001","","31","3.789","54.8","41.9",".",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"Topics in Dutch Lit in Tran","326","001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trans:Scand Topics in Depth","331","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prophets of the Bible","332","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Lit in Transl-Henrik Ibsen","335","001","","12","3.208","33.3","25.0","8.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"In Transl:19C Scand Fiction","337","001","","36","3.401","22.2","50.0","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"In Transl:Scand Tale&Ballad","345","001","","12","3.635","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit in Trans-Icelandic Saga","346","001","","10","2.688",".",".","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Israeli Fiction-Translation","367","001","","8","3.563","75.0",".",".","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Class Japanese Prose-Transl","372","001","","12","3.458","41.7","25.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Japanese Lit","373","001","","48","3.404","27.1","41.7","22.9","4.2",".",".","2.1","2.1",".",".",".",".",".",".",".","."
"Pol Lit(Tran) Mid Ages-1863","471","001","","8","3.188","50.0",".",".","37.5","12.5",".",".",".",".",".",".",".",".",".",".","."
