"IES","","","","","","","","","","","","","","","","","","","",""
"ENVIR ST - GAYLORD NELSON I","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"ENVIR ST
360","Dept. Total","1191","3.323","41.8","17.3","17.0","7.6","6.0","1.2","1.3","5.2","0.2","1.4","",".","0.4","0.3","0.2","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","76","3.066","34.2","14.5","23.7","11.8","10.5","2.6","2.6",".",".",".","",".",".",".",".",".","."
"Sophomore","","190","3.214","38.9","17.9","21.1","6.8","11.1","1.1","2.6","0.5",".",".","",".",".",".",".",".","."
"Junior","","237","3.244","32.5","24.1","22.4","11.4","7.2",".","1.7","0.4",".",".","",".",".",".","0.4",".","."
"Senior","","392","3.290","40.3","18.4","19.6","9.4","5.9","2.6","1.3","1.8","0.5",".","",".",".",".",".","0.3","."
"Undergraduates","","895","3.241","37.4","19.4","21.0","9.6","7.7","1.6","1.8","1.0","0.2",".","",".",".",".","0.1","0.1","."
"Special","","32","3.389","40.6","9.4","9.4","12.5","6.3",".",".","18.8",".","3.1","",".",".",".",".",".","."
"Graduate","","260","3.825","56.5","11.2","4.2",".","0.4",".",".","18.1",".","6.2","",".","1.9","1.2","0.4",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 3","","3","3.636","66.7",".","33.3",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","4","3.714","75.0",".","25.0",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","1191","3.323","41.8","17.3","17.0","7.6","6.0","1.2","1.3","5.2","0.2","1.4","",".","0.4","0.3","0.2","0.1","."
