"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120
001","322","3.090","23.3","24.5","25.2","9.3","13.4","0.6","2.5","0.9",".",".",".",".","0.3",".",".","."
"","131
002","84","2.720","14.3","17.9","17.9","20.2","19.0","3.6","4.8","1.2","1.2",".",".",".",".",".",".","."
"","131
003","121","3.508","26.4","55.4","14.9","1.7","0.8","0.8",".",".",".",".",".",".",".",".",".","."
"Criminal Justice in America","Course Total","205","3.190","21.5","40.0","16.1","9.3","8.3","2.0","2.0","0.5","0.5",".",".",".",".",".",".","."
"","134
002","81","3.236","24.7","21.0","25.9","12.3","7.4",".",".","6.2","1.2",".",".",".","1.2",".",".","."
"","134
003","95","3.714","57.9","27.4","9.5",".",".",".","1.1","3.2",".",".",".",".",".","1.1",".","."
"","134
004","74","2.743","6.8","13.5","33.8","28.4","6.8","6.8","1.4","2.7",".",".",".",".",".",".",".","."
"","134
005","93","3.407","25.8","43.0","11.8","8.6","2.2",".","1.1","7.5",".",".",".",".",".",".",".","."
"Am Racial&Ethnic Minorities","Course Total","343","3.307","30.3","27.1","19.2","11.4","3.8","1.5","0.9","5.0","0.3",".",".",".","0.3","0.3",".","."
"The Sociology of Gender","138
001","74","3.155","17.6","36.5","25.7","10.8","5.4","2.7","1.4",".",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","160
001","166","2.800","7.8","21.7","31.9","13.3","14.5","4.8","2.4","3.0","0.6",".",".",".",".",".",".","."
"","198
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","198
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","198
059","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","198
066","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","6","",".",".",".",".",".",".",".",".",".","83.3","16.7",".",".",".",".","."
"","199
016","28","3.772","89.3",".",".",".","3.6",".","3.6",".",".",".",".",".","3.6",".",".","."
"","199
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","30","3.788","90.0",".",".",".","3.3",".","3.3",".",".",".",".",".","3.3",".",".","."
"Intro Les, Gay, Bi, Trnsgen St","200
001","60","3.685","56.7","21.7","16.7",".","1.7",".",".","3.3",".",".",".",".",".",".",".","."
"Survey of Sociology","210
001","111","3.293","28.8","28.8","30.6","4.5","4.5","0.9","1.8",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211
001","83","3.253","31.3","22.9","31.3","3.6","7.2","2.4","1.2",".",".",".",".",".",".",".",".","."
"Gender & Work-Rural America","215
001","27","2.880","14.8","7.4","37.0","7.4","25.9",".",".","7.4",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220
001","110","3.316","18.2","47.3","17.3","6.4","6.4","0.9",".","3.6",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244
001","6","3.900","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"The Jews, States, & Citizenshp","258
001","10","3.143","40.0",".",".","20.0",".","10.0",".","30.0",".",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","12","3.542","41.7","33.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","27","3.180","29.6","7.4","33.3","11.1","11.1",".",".","7.4",".",".",".",".",".",".",".","."
"","357
001","41","2.992","17.1","22.0","24.4","24.4","9.8",".","2.4",".",".",".",".",".",".",".",".","."
"","357
002","39","3.308","48.7","17.9","12.8","7.7","5.1","5.1","2.6",".",".",".",".",".",".",".",".","."
"","357
003","24","3.292","33.3","33.3","25.0",".",".","4.2","4.2",".",".",".",".",".",".",".",".","."
"","357
004","33","3.440","54.5","18.2","12.1","3.0","9.1",".","3.0",".",".",".",".",".",".",".",".","."
"","357
005","30","3.750","63.3","26.7","6.7","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","357
006","33","3.848","72.7","24.2","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","200","3.418","47.5","23.0","14.0","7.5","4.5","1.5","2.0",".",".",".",".",".",".",".",".","."
"","360
001","29","3.172","34.5","27.6","17.2",".","13.8","3.4","3.4",".",".",".",".",".",".",".",".","."
"","360
002","24","3.188","29.2","20.8","29.2","8.3","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"","360
003","21","3.024","14.3","28.6","33.3","14.3","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","74","3.135","27.0","25.7","25.7","6.8","9.5","2.7","2.7",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361
001","18","3.556","38.9","38.9","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Mathematical Sociology","375
001","18","3.306","44.4","22.2","16.7","5.6","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"Criminology","441
001","196","3.487","48.5","24.0","15.8","5.6","3.1","1.5","1.0","0.5",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 304 of 407",""
