"Research and Thesis","Course Total","7","",".",".",".",".",".","",".","",".","100.0","",".",".",".",".","",".",".",".","."
"","999
027","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","999
039","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"Advanced Independent Study","Course Total","2","***","","","","","","","","","","","","","","","","","","","",""
"B M E
207","Dept. Total","375","3.592","45.1","22.7","13.3","2.4","1.3","",".","",".","14.4","",".","0.3",".","0.5","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","10","3.292","20.0","30.0","50.0",".",".","",".","",".",".","",".",".",".",".","",".",".",".","."
"Junior","","51","3.545","41.2","33.3","19.6","3.9","2.0","",".","",".",".","",".",".",".",".","",".",".",".","."
"Senior","","182","3.561","52.2","26.9","14.3","2.7","2.2","",".","",".","0.5","",".","1.1",".",".","",".",".",".","."
"Undergraduates","","243","3.551","48.6","28.4","16.9","2.9","2.1","",".","",".","0.4","",".","0.8",".",".","",".",".",".","."
"Special","","7","3.882","71.4","28.6",".",".",".","",".","",".",".","",".",".",".",".","",".",".",".","."
"Graduate","","149","3.669","30.2","9.4","6.0","1.3",".","",".","",".","34.9","",".","16.1",".","1.3","",".",".",".","."
"Prof Yr 3","","2","4.000","50.0",".",".",".",".","",".","",".","50.0","",".",".",".",".","",".",".",".","."
"Professionals","","2","4.000","50.0",".",".",".",".","",".","",".","50.0","",".",".",".",".","",".",".",".","."
"","Dept. Total","401","3.592","42.1","21.2","12.5","2.2","1.2","",".","",".","13.5","",".","6.5",".","0.5","",".",".",".","."
