"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"BIOCHEM","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","36","3.020","36.1","11.1","16.7","16.7","16.7","2.8",".",".",".",".","",".",".",".",".",".","."
"Junior","193","3.050","30.6","12.4","27.5","10.9","15.0","2.1","1.6",".",".",".","",".",".",".",".",".","."
"Senior","513","3.261","45.6","10.3","25.5","6.4","9.0","1.8","0.6","0.2",".",".","",".",".","0.4","0.2",".","."
"Undergraduates","743","3.188","41.3","10.9","25.6","8.1","10.9","1.9","0.8","0.1",".",".","",".",".","0.3","0.1",".","."
"Special","27","3.319","29.6","14.8","25.9","11.1","7.4",".",".","7.4",".",".","",".",".",".",".","3.7","."
"Graduate","414","3.670","32.1","9.2","7.0","1.2","0.5",".",".","45.2","0.2",".","",".","4.3",".","0.2",".","."
"Prof Yr 1","2","3.000",".",".","50.0",".",".",".",".","50.0",".",".","",".",".",".",".",".","."
"Prof Yr 3","9","3.125","11.1",".","22.2","11.1",".",".",".","55.6",".",".","",".",".",".",".",".","."
"Professionals","11","3.100","9.1",".","27.3","9.1",".",".",".","54.5",".",".","",".",".",".",".",".","."
