"L&S","","","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"PSYCH
820","Dept. Total","4610","3.029","33.1","14.9","17.7","10.4","15.5","4.3","1.5","2.2","0.1",".","",".","",".","0.1","0.1","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","737","2.593","13.3","14.2","16.8","16.7","26.9","9.4","2.4","0.1",".",".","",".","",".",".","0.1",".","."
"Sophomore","","1041","2.919","22.9","17.6","20.7","11.6","21.7","3.9","1.2","0.2",".",".","",".","",".",".","0.2",".","."
"Junior","","1153","3.026","32.9","14.9","20.4","10.4","14.4","4.5","1.6","0.5","0.2",".","",".","",".",".","0.1","0.2","."
"Senior","","1329","3.273","45.2","14.8","16.8","8.6","8.9","2.7","1.1","1.7","0.2",".","",".","",".","0.1",".","0.1","."
"Undergraduates","","4260","3.001","30.9","15.4","18.7","11.2","16.6","4.6","1.5","0.7","0.1",".","",".","",".","0.0","0.1","0.1","."
"Special","","51","2.866","31.4","15.7","15.7","5.9","7.8","3.9","7.8","3.9",".",".","",".","",".",".",".","7.8","."
"Graduate","","292","3.852","65.4","7.2","3.1",".","0.3",".","0.3","22.9",".",".","",".","",".","0.7",".",".","."
"Prof Yr 3","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Professionals","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"","Dept. Total","4610","3.029","33.1","14.9","17.7","10.4","15.5","4.3","1.5","2.2","0.1",".","",".","",".","0.1","0.1","0.2","."
