"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"","102","001","214","3.519","45.8","29.9","16.8","2.8","1.4","0.5","1.9","0.9",".",".",".",".",".",".",".","."
"","102","002","280","3.469","27.5","44.6","20.7","2.9","0.7",".","0.7","2.5",".",".",".",".",".","0.4",".","."
"Amer Hist-Civil War-Present","","Course Total","494","3.491","35.4","38.3","19.0","2.8","1.0","0.2","1.2","1.8",".",".",".",".",".","0.2",".","."
"Medieval Europe 410-1500","115","001","66","3.287","37.9","28.8","15.2","9.1","1.5","1.5","4.5","1.5",".",".",".",".",".",".",".","."
"Modern Europe 1500-1815","119","001","62","3.071","9.7","27.4","40.3","11.3","8.1","1.6",".","1.6",".",".",".",".",".",".",".","."
"Europe&Mod World 1815-On","120","001","195","3.124","13.8","28.7","37.4","8.7","6.2","1.0","1.5","2.1",".",".",".",".",".","0.5",".","."
"British Hist: 1688-Present","124","001","128","3.268","21.1","35.2","23.4","14.1","3.1",".","0.8","2.3",".",".",".",".",".",".",".","."
"History-S Asia to Present","142","001","62","3.344","30.6","35.5","17.7","6.5","6.5",".","1.6",".",".",".",".",".",".","1.6",".","."
"","199","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"","200","001","17","3.406","35.3","29.4","23.5",".",".","5.9",".",".",".",".",".",".",".","5.9",".","."
"","200","002","23","3.326",".","73.9","21.7",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","200","003","12","3.125","33.3",".","33.3","25.0","8.3",".",".",".",".",".",".",".",".",".",".","."
"Historical Studies","","Course Total","52","3.304","19.2","42.3","25.0","5.8","3.8","1.9",".",".",".",".",".",".",".","1.9",".","."
"Life in the Middle Ages","215","030","22","3.639","45.5","18.2","13.6","4.5",".",".",".","18.2",".",".",".",".",".",".",".","."
"","221","001","39","2.908","25.6","12.8","12.8","20.5","20.5","5.1",".","2.6",".",".",".",".",".",".",".","."
"","221","002","25","3.043","4.0","28.0","36.0","20.0","4.0",".",".","8.0",".",".",".",".",".",".",".","."
"Explorations in Amer Hist (H)","","Course Total","64","2.959","17.2","18.8","21.9","20.3","14.1","3.1",".","4.7",".",".",".",".",".",".",".","."
"","223","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","223","001","32","2.922","12.5","15.6","34.4","25.0","9.4","3.1",".",".",".",".",".",".",".",".",".","."
"Exploration-European Hist (H)","","Course Total","33","2.925","12.1","15.2","36.4","24.2","9.1","3.0",".",".",".",".",".",".",".",".",".","."
"Exploration-3rd World Hist (H)","225","001","38","3.392","31.6","26.3","34.2","2.6",".","2.6",".","2.6",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","37","3.729","62.2","18.9","10.8",".","2.7",".",".","5.4",".",".",".",".",".",".",".","."
"American Business History","247","001","59","3.009","15.3","20.3","27.1","22.0","5.1","1.7","1.7","6.8",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","21","3.132","14.3","33.3","23.8","9.5","4.8","4.8",".","9.5",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","72","3.470","41.7","31.9","9.7","5.6",".","1.4","2.8","6.9",".",".",".",".",".",".",".","."
"Cen Asia: Silk Route-Afghan","265","001","94","3.440","26.6","45.7","17.0","6.4","1.1","1.1",".","2.1",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","53","2.857","15.1","15.1","34.0","7.5","11.3","7.5","1.9","7.5",".",".",".",".",".",".",".","."
"A History of Rome","307","001","93","3.745","50.5","35.5","1.1","1.1","1.1",".",".","10.8",".",".",".",".",".",".",".","."
"Sch&Learning-Medieval World","311","001","25","3.571","36.0","32.0","8.0","8.0",".",".",".","12.0",".",".",".",".",".","4.0",".","."
"Sci Revol:Copernicus-Newton","323","001","12","3.227","16.7","33.3","25.0","8.3","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"Amer Constutnl & Legal Dev","331","001","50","3.446","26.0","40.0","30.0","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"American Rev 1763-1789","344","001","131","3.500","44.3","31.3","14.5","4.6","0.8","3.8",".","0.8",".",".",".",".",".",".",".","."
"Women&Gender in US Since 1870","354","001","66","3.406","21.2","47.0","19.7","9.1",".",".",".","3.0",".",".",".",".",".",".",".","."
"The Second World War","357","001","146","3.274","13.0","37.7","27.4","10.3","2.1",".",".","9.6",".",".",".",".",".",".",".","."
"The Anglo-Saxons","360","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc-Shakespeares England","367","001","50","3.081","12.0","20.0","38.0","14.0","8.0",".",".","6.0",".",".",".",".","2.0",".",".","."
"Hist of Africa, 1500-1870","377","001","76","3.302","21.1","43.4","18.4","6.6","5.3","2.6",".","2.6",".",".",".",".",".",".",".","."
"United States 1914-1945","397","001","78","3.594","52.6","12.8","20.5","9.0",".",".",".","5.1",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 225 of 407",""
