"MANAGEMENT AND HUMAN RES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","",""
"","733
004","","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Corporate Strategy","Course Total","","55","3.809","65.5","30.9","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"WAVE Practicum II","738
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","","27","3.648","33.3","63.0","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","","24","3.854","70.8","29.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","69","3.764","58.0","39.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Arts Administration","774
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
204","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
216","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Administrative Policy","870
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Org Behavior & Design","872
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Doctoral Rsch Smr in Mgmt","976
001","","7","3.571","14.3","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
088","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
123","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","Course Total","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
060","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
088","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
148","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Mgmt&H Resrcs PhD","Course Total","","14","3.767","42.9","28.6",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
