"ATMOSPHERIC & OCEANIC SCIE Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","","",""
"","100","001","","290","3.106","28.3","22.1","17.2","19.0","8.6","2.8","1.7","0.3",".",".",".",".",".",".",".","."
"","100","002","","175","2.965","12.6","19.4","34.9","18.3","10.3","2.3","0.6","1.1",".",".",".",".",".","0.6",".","."
"Weather and Climate","","Course Total","","465","3.053","22.4","21.1","23.9","18.7","9.2","2.6","1.3","0.6",".",".",".",".",".","0.2",".","."
"Weather and Climate","101","001","","95","3.266","38.9","14.7","21.1","18.9","1.1","3.2","1.1","1.1",".",".",".",".",".",".",".","."
"Survey of Oceanography","105","001","","24","3.104","33.3","4.2","33.3","8.3","20.8",".",".",".",".",".",".",".",".",".",".","."
"Earth Water:Nat Sci&Hum Use","132","001","","39","3.231","41.0","20.5","17.9","10.3","2.6","2.6","5.1",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","","55","3.500","47.3","30.9","7.3","5.5","5.5",".","1.8","1.8",".",".",".",".",".",".",".","."
"Dynamic-Atmosphere&Ocean II","311","001","","28","2.214","17.9","3.6","17.9","10.7","17.9","21.4","10.7",".",".",".",".",".",".",".",".","."
"Physics-Atmosphere&Ocean II","340","001","","28","3.125","21.4","10.7","46.4","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","401","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","002","","10","1.500","10.0",".","20.0","10.0",".","10.0","40.0","10.0",".",".",".",".",".",".",".","."
"Topics in Meteorology","","Course Total","","17","2.305","35.3","11.8","11.8","5.9",".","5.9","23.5","5.9",".",".",".",".",".",".",".","."
"AOS Senior Capstone Seminar","405","001","","17","3.441","41.2","23.5","23.5","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Syn Lab II-Mesoscale Meteor","453","001","","18","3.278","27.8","22.2","38.9",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Teachr Wkshp-Earth Sys Sci-Web","509","003","","12","3.857","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Atmospherc Dispersn&Pollutn","535","001","","11","3.556","45.5","9.1","18.2","9.1",".",".",".","18.2",".",".",".",".",".",".",".","."
"Climatological Analysis","575","001","","6","3.800","50.0","33.3",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Geophys Fluid Dynamics II","611","001","","10","3.600","60.0","20.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Atmospheric Chemistry","638","001","","20","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radiatn in Atmosphere&Ocean","640","001","","14","3.615","50.0","21.4","14.3","7.1",".",".",".",".",".",".",".",".","7.1",".",".","."
"Analysis of Atmospheric Sys","650","001","","11","3.318","9.1","45.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis","691","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","698","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Advanced Atmospheric Radiation","740","001","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","907","001","","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","907","002","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminar:Research Presentations","","Course Total","","40","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminar-Dynamics","915","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Oceanography","965","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
