"ALS","","","","","","","","","","","","","","","","","","","","","",""
"GENETICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","","","",""
"GENETICS
412","Dept. Total","640","3.224","35.0","12.7","17.5","8.4","6.6","3.3","0.5","15.3","",".",".","",".","0.5","",".",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","21","3.773","71.4","14.3","9.5","4.8",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","44","3.500","61.4","13.6","6.8","11.4","2.3","2.3",".",".","",".",".","",".",".","",".",".","2.3","."
"Junior","","131","3.030","32.1","14.5","22.9","12.2","12.2","4.6","1.5",".","",".",".","",".",".","",".",".",".","."
"Senior","","312","3.222","39.4","14.7","23.4","9.6","7.7","4.5","0.3","0.3","",".",".","",".",".","",".",".",".","."
"Undergraduates","","508","3.207","40.7","14.6","21.3","10.2","8.1","4.1","0.6","0.2","",".",".","",".",".","",".",".","0.2","."
"Special","","4","3.227","25.0","25.0","25.0","25.0",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","127","3.640","12.6","4.7","2.4","0.8","0.8",".",".","75.6","",".",".","",".","2.4","",".",".","0.8","."
"Prof Yr 3","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".","",".",".",".","."
"Professionals","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".","",".",".",".","."
"","Dept. Total","640","3.224","35.0","12.7","17.5","8.4","6.6","3.3","0.5","15.3","",".",".","",".","0.5","",".",".","0.3","."
