"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Intro to Discrete Mathematics","240
001","32","2.859","31.3","3.1","28.1","12.5","12.5","9.4","3.1",".",".",".",".",".",".",".",".","."
"","302
001","54","2.283","16.7","11.1","13.0","14.8","14.8","13.0","14.8",".",".",".",".",".",".","1.9",".","."
"","002
302","67","2.623","14.9","20.9","11.9","16.4","20.9","3.0","9.0","1.5","1.5",".",".",".",".",".",".","."
"","302
003","16","2.781","12.5","12.5","37.5","6.3","25.0","6.3",".",".",".",".",".",".",".",".",".","."
"","302
004","19","2.737","26.3","5.3","15.8","26.3","15.8","5.3","5.3",".",".",".",".",".",".",".",".","."
"","302
006","17","2.500","11.8","5.9","17.6","29.4","17.6","5.9","5.9",".",".",".",".",".",".","5.9",".","."
"","302
007","12","2.700","16.7","8.3","16.7","8.3","25.0","8.3",".","16.7",".",".",".",".",".",".",".","."
"","302
008","18","2.694","5.6","33.3","16.7","16.7","11.1","16.7",".",".",".",".",".",".",".",".",".","."
"","302
010","13","2.423","7.7","30.8",".","23.1","15.4","15.4","7.7",".",".",".",".",".",".",".",".","."
"","302
021","10","2.200","10.0",".","40.0","20.0",".","10.0","20.0",".",".",".",".",".",".",".",".","."
"Introduction to Programming","Course Total","226","2.532","14.6","15.5","15.9","17.3","17.3","8.4","8.4","1.3","0.4",".",".",".",".","0.9",".","."
"Prob Solvng Using Computers","310
001","240","3.004","15.8","10.0","53.8","10.8","5.4","2.9","1.3",".",".",".",".",".",".",".",".","."
"","352
001","36","3.183","33.3","19.4","8.3","11.1","5.6",".","5.6","16.7",".",".",".",".",".",".",".","."
"","352
002","19","2.318",".","5.3","15.8","10.5","15.8","10.5",".","36.8","5.3",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","55","2.951","21.8","14.5","10.9","10.9","9.1","3.6","3.6","23.6","1.8",".",".",".",".",".",".","."
"","354
001","24","2.646","8.3","29.2","16.7","25.0","4.2","8.3","8.3",".",".",".",".",".",".",".",".","."
"","354
002","35","2.750","8.6","17.1","28.6","20.0","17.1","2.9","2.9","2.9",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","59","2.707","8.5","22.0","23.7","22.0","11.9","5.1","5.1","1.7",".",".",".",".",".",".",".","."
"","367
002","22","3.409","40.9","31.8","18.2","4.5",".",".","4.5",".",".",".",".",".",".",".",".","."
"","003
367","47","3.250","40.4","8.5","29.8","2.1","14.9","2.1",".","2.1",".",".",".",".",".",".",".","."
"","367
004","42","3.083","35.7","14.3","21.4","11.9","7.1","7.1","2.4",".",".",".",".",".",".",".",".","."
"Intro to Data Structures","Course Total","111","3.218","38.7","15.3","24.3","6.3","9.0","3.6","1.8","0.9",".",".",".",".",".",".",".","."
"Learn New Programming Lang","368
001","31","",".",".",".",".",".",".",".",".",".","93.5","6.5",".",".",".",".","."
"Intro to Numerical Methods","412
001","84","3.208","20.2","29.8","35.7","9.5","1.2","2.4","1.2",".",".",".",".",".",".",".",".","."
"Intro-Combinatrl Optimizatn","425
001","18","3.611","50.0","33.3","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435
001","8","3.313","37.5","12.5","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Splines and Wavelets","515
001","12","3.458","41.7","25.0","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Theoretical Comp Sci","520
001","12","3.042","41.7","8.3","16.7","16.7","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525
002","31","2.677","29.0","12.9","16.1",".","22.6","12.9","6.5",".",".",".",".",".",".",".",".","."
"Intro-Progm Langs&Compilers","536
001","30","3.500","46.7","26.7","10.0","13.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Operating Systems","537
002","47","2.888","23.4","25.5","10.6","12.8","19.1","4.3","4.3",".",".",".",".",".",".",".",".","."
"Intro-Artificl Intelligence","540
001","58","2.879","13.8","17.2","32.8","20.7","8.6","5.2","1.7",".",".",".",".",".",".",".",".","."
"","552
001","12","3.250","50.0","8.3","16.7","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","552
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Computer Architecture","Course Total","17","3.147","47.1","11.8","17.6","5.9","5.9","5.9","5.9",".",".",".",".",".",".",".",".","."
"Intro-Computationl Geometry","558
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Database Mgt Systems","564
001","50","3.173","32.0","18.0","28.0","12.0","8.0",".","2.0",".",".",".",".",".",".",".",".","."
"","577
001","56","3.786","75.0","17.9","1.8","3.6",".","1.8",".",".",".",".",".",".",".",".",".","."
"","577
002","41","3.732","78.0","12.2",".","2.4","4.9","2.4",".",".",".",".",".",".",".",".",".","."
"Introduction to Algorithms","Course Total","97","3.763","76.3","15.5","1.0","3.1","2.1","2.1",".",".",".",".",".",".",".",".",".","."
"Tools & Envirnmt-Optimizatn","635
001","9","3.750","44.4","44.4",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Intro to Computer Networks","640
001","31","3.217","22.6","25.8","25.8","16.1","6.5",".",".","3.2",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 191 of 407",""
