"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
002","17","2.800","5.9","29.4","11.8","17.6","17.6","5.9",".","5.9",".",".",".",".",".",".","5.9","."
"","101
003","18","3.667","50.0","38.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","19","3.029","15.8","42.1","10.5","5.3","5.3","5.3","5.3","10.5",".",".",".",".",".",".",".","."
"","101
006","18","3.278","44.4","22.2","5.6","11.1","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"","101
007","15","3.200","33.3","33.3","13.3","6.7",".","13.3",".",".",".",".",".",".",".",".",".","."
"","101
008","20","3.417","40.0","20.0","10.0","15.0","5.0",".",".","10.0",".",".",".",".",".",".",".","."
"","101
009","16","3.633","56.3","25.0",".","6.3","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"","101
11","15","2.714","26.7","6.7","20.0","6.7","20.0","6.7","6.7","6.7",".",".",".",".",".",".",".","."
"First Semester French","Course Total","138","3.235","34.1","27.5","9.4","9.4","8.0","4.3","1.4","5.1",".",".",".",".",".",".","0.7","."
"","102
002","20","3.368","35.0","25.0","20.0","5.0","10.0",".",".","5.0",".",".",".",".",".",".",".","."
"","102
003","21","3.000","4.8","28.6","38.1","9.5","14.3",".",".","4.8",".",".",".",".",".",".",".","."
"","102
004","20","3.025","30.0","15.0","30.0","10.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","102
005","23","3.391","43.5","17.4","21.7","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"","006
102","24","3.717","58.3","25.0","8.3","4.2",".",".",".","4.2",".",".",".",".",".",".",".","."
"","102
007","20","3.474","45.0","25.0","5.0","15.0","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"","102
008","20","3.211","15.0","35.0","25.0","15.0","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","148","3.322","33.8","24.3","20.9","9.5","6.8","0.7","0.7","3.4",".",".",".",".",".",".",".","."
"Second Sem French Honors","182
001","9","3.444","44.4","44.4",".",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"","203
001","19","3.105","26.3","15.8","42.1","5.3","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","203
002","17","3.235","23.5","23.5","35.3","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","203
004","19","3.278","21.1","15.8","52.6","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"","203
005","20","2.925","20.0","40.0","5.0","15.0","5.0","10.0","5.0",".",".",".",".",".",".",".",".","."
"","203
007","18","2.824","16.7","22.2","22.2","11.1","11.1","5.6","5.6","5.6",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","93","3.071","21.5","23.7","31.2","9.7","5.4","3.2","3.2","2.2",".",".",".",".",".",".",".","."
"","204
001","18","3.333","27.8","38.9","16.7","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"","204
002","21","3.286","19.0","52.4","14.3","4.8","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","204
004","15","3.467","26.7","53.3","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","204
006","18","2.833","11.1","22.2","33.3","22.2",".","5.6","5.6",".",".",".",".",".",".",".",".","."
"","204
008","15","3.143","20.0","40.0","13.3","13.3",".",".","6.7","6.7",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","87","3.209","20.7","41.4","18.4","9.2","4.6","2.3","2.3","1.1",".",".",".",".",".",".",".","."
"","227
001","16","3.344","12.5","43.8","43.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","227
002","20","3.211","20.0","25.0","40.0","5.0",".","5.0",".",".",".",".",".",".",".","5.0",".","."
"","003
227","16","3.733","50.0","37.5","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","52","3.410","26.9","34.6","30.8","1.9",".","1.9",".","1.9",".",".",".",".",".","1.9",".","."
"","228
001","20","3.467","30.0","40.0","20.0",".","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"","228
002","21","3.887","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
003","21","3.562","38.1","33.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","62","3.647","48.4","32.3","16.1",".","1.6",".",".","1.6",".",".",".",".",".",".",".","."
"","271
001","13","3.692","61.5","30.8",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","271
003","20","3.775","60.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
004","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","47","3.766","63.8","29.8","4.3",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"4th Sem French-Honors","284
001","17","3.441","29.4","41.2","23.5",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Intermed Lang&Cultr-Honors","288
001","15","3.827","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
