"MEDICAL HISTORY AND BIOETH Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","",""
"The Physician in History","212","001","","25","3.240","32.0","32.0","20.0","8.0",".","4.0","4.0",".",".",".",".",".",".",".",".","."
"Physician in Hist (Honors)","284","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Med Hist of Sex & Sexuality","524","001","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethical Probs-Biomed Tech","558","001","","25","3.568","36.0","28.0","24.0",".",".",".",".","12.0",".",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ethics of Modern Biotechnology","565","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in History of Med","668","001","","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist Perspectives-Medicine","720","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","890","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading and Research","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Bioethics and the Law","905","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Studies-Medical Hist","919","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","999","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"MED HIST
452","","Dept. Total","","100","3.557","53.0","24.0","15.0","2.0","1.0","1.0","1.0","3.0",".",".",".",".",".",".",".","."
