"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","226","2.573","12.4","11.5","18.6","19.5","27.0","8.0","2.7","0.4",".",".",".",".",".",".",".","."
"132","002","","438","2.685","13.0","12.8","21.0","16.9","31.1","4.3","0.9",".",".",".",".",".",".",".",".","."
"132","003","","215","2.616","13.0","8.8","19.1","20.5","26.5","7.4","0.9","3.7",".",".",".",".",".",".",".","."
"Nutrition Today","Course Total","","879","2.640","12.9","11.5","19.9","18.4","28.9","6.0","1.4","1.0",".",".",".",".",".",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"320
Nutrition for Health & Disease","001","","25","3.071","16.0","12.0","28.0","24.0","4.0",".",".","16.0",".",".",".",".",".",".",".","."
"332
Human Nutritional Needs","001","","143","2.754","21.0","7.7","32.2","10.5","12.6","14.7","0.7","0.7",".",".",".",".",".",".",".","."
"350
World Hunger & Malnutrition","001","","49","3.704","61.2","24.5","10.2","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"399","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"431
Nutrition in the Life Span","001","","76","3.033","9.2","31.6","28.9","19.7","9.2","1.3",".",".",".",".",".",".",".",".",".","."
"520","001","","17","3.706","58.8","35.3",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"520","002","","18","3.778","72.2","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Applications-Clin Nutrition","Course Total","","35","3.743","65.7","25.7","2.9","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"540
Commun Nutr Prgms & Policy Iss","001","","15","3.567","53.3","13.3","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"627
Adv Nutrition: Vitamins","001","","17","3.529","23.5","58.8","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"672","001","","7","3.750","57.1","14.3","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"672","003","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Herbl, Homeopthy&Diet","Course Total","","13","3.708","53.8","23.1","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"682","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"692
Senior Thesis","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","7","3.818","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Pract-Nutri Sciences Tchg","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","001","","9","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"881
Smr-Human&Clinicl Nutrition","001","","15","3.667","33.3","13.3","13.3",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"931
Seminar-Nutrition","001","","35","4.000","11.4",".",".",".",".",".",".","88.6",".",".",".",".",".",".",".","."
"991","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
